Species,Mass,r
Fulmarus glacialis,611.94,0.04661512649918066
Fratercula arctica,593.01,0.06894215699284194
Gyps fulvus,7435.99,0.06894215699284194
Rissa tridactyla,415.99,0.09066294824560261
Larus argentatus,1090.99,0.0977741061793993
Chen caerulescens,2636.15,0.12560299904773176
Branta leucopsis,1683.97,0.13241155078205866
Phalacrocorax carbo,2528.97,0.1391626456987504
Larus ridibundus,284,0.1391626456987504
Ciconia ciconia,3445.8,0.15249628768691978
Sterna caspia,655,0.20371377469886462
Parus major,16.25,0.3957569934688856
Petronia petronia,30.2,0.6123742737116572
