Species,Mass,sigma,Common_Name
Bison bison,450000,0.05477225575051661,Bison
Bison bonasus,950000,0.17888543819998318,European bison or Wisent
Bos taurus,725000,0.1414213562373095,Chillingham cattle
Capra hircus,40000,0.3209361307176242,Feral Goat
Connochaetes taurinus,165000,0.08366600265340755,Blue Wildebeest or White-bearded Wildebeest
Oreamnos americanus,91000,0.11401754250991379,Mountain goat
Ovibos moschatus,280000,0.06324555320336758,Muskox
Ovis aries,30000,0.41231056256176607,Soay or domestic sheep
Ovis canadensis,81940,0.4242640687119285,Bighorn sheep or Mountain sheep
Ovis dalli,74000,0.10954451150103323,Dall Sheep
Procapra gutturosa,34000,0.5549774770204643,Mongolian gazelle
Rupicapra rupicapra,40000,0.07745966692414834,Chamois
Syncerus caffer,700000,0.06324555320336758,"African buffalo, Cape buffalo"
Tragelaphus strepsiceros,214000,0.11832159566199232,Greater kudu
Alces alces,460000,0.19235384061671346,Moose or Elk
Capreolus capreolus,25000,0.28982753492378877,Roe deer
Cervus elaphus,250000,0.16431676725154984,"Red deer, Red elk, Wapiti"
Cervus nippon,67500,0.25298221281347033,Sika deer
Dama dama,70000,0.08944271909999159,Fallow deer
Elaphurus davidianus,190000,0.2683281572999748,Père David's deer
Odocoileus hemionus,100000,0.2810693864511039,Mule deer
Odocoileus virginianus,100000,0.2569046515733026,White-tailed deer
Rangifer tarandus,160000,0.21213203435596426,Reindeer or Caribou
Sus scrofa,91483,0.31304951684997057,Wild boar
Alopex lagopus,5000,0.5924525297439449,Arctic fox
Canis latrans,15000,0.5761944116355173,Coyote
Canis lupus,45000,0.6848357467305572,Grey wolf
Lycaon pictus,27500,0.35496478698597694,"African wild dog, African hunting dog, wild dog"
Urocyon cinereoargenteus,5000,0.2683281572999748,Grey fox
Vulpes corsac,2850,0.26267851073127396,Corsac fox
Vulpes macrotis,1943,0.5612486080160912,San Joaquin kit fox
Vulpes vulpes fulva,5200,1.4608216865860117,Coloured fox
Vulpes vulpes vulpes,4000,0.2645751311064591,European red fox
Acinonyx jubatus,46600,0.2449489742783178,Cheetah
Felis sylvestris,8000,0.8324662155306964,Wild Cat
Lynx canadensis,9900,0.6826419266350405,Lynx
Lynx lynx,20000,0.8049844718999243,Eurasian lynx
Lynx rufus,18000,0.4878524367060187,Bobcat
Panthera leo,163353,0.2810693864511039,Lion
Panthera tigris,185000,0.18439088914585774,Amur tiger
Puma concolor,61500,0.46475800154489,Cougar or Mountain lion
Gulo gulo,27000,0.232379000772445,Wolverine
Lontra longicaudis,8820,0.14491376746189438,River otter
Lutra canadensis,10000,0.4538722287164087,North American otter
Lutra lutra,7430,0.6964194138592059,European otter
Martes americana,936,0.31622776601683794,American marten
Martes foina,1000,0.8774964387392122,Beech marten
Martes martes,1268,0.8660254037844386,Pine marten
Martes pennanti,2876,0.3331666249791536,Fisher or  Pekan
Martes zibellina,1340,1.4342245291445828,Russian sable
Meles meles,9926,0.5176871642217914,Eurasian badger
Mephitis mephitis,2096,0.45166359162544856,Striped skunk
Mustela eversmanni,1700,0.2810693864511039,Siberian polecat
Mustela nivalis nivalis,79,0.6308724118235002,Old world least weasel
Mustela nivalis rixosa,75,1.6024980499208104,New world least weasel
Mustela putorius,950,0.5039841267341661,Polecat or Fitch
Mustela vison,1000,0.5991660871578097,North American mink
Mustela erminea,167,0.41952353926806063,Weasel or ermine
Pteronura brasiliensis,25700,0.9224966124599049,Giant otter
Taxidea taxus,6837,0.7183313998427189,North American badger or American badger
Procyon lotor,5000,0.17029386365926402,Raccoon
Ursus americanus,180000,0.4301162633521313,American black bear
Ursus arctos,400000,0.11832159566199232,Yellowstone Grizzly bear or brown bear
Ursus thibetanus,100000,0.25495097567963926,Japanese Black Bear
Phascolarctos cinereus,5000,0.4669047011971501,Koala
Lasiorhinus krefftii,31000,0.3209361307176242,Northern hairy-nose wombat
Erinaceus europaeus,780,0.3646916505762094,West European hedgehog
Crocidura russula,10,0.40249223594996214,White-toothed shrew
Neomys fodiens,15,2.1503488089144978,"European shrew, Eurasian shrew or Northern water shrew"
Sorex araneus,12,1.1256109452204166,Common shrew
Sorex caecutiens,7,1.957549488518745,Laxmann's masked shrew
Sorex daphaenodon,7,0.8792041856133307,Siberian large-toothed shrew
Sorex isodon,12,1.462190138114739,Equal-toothed shrew
Sorex minutissimus,2,0.6693280212272604,"Asian shrew, least shrew, Siberian shrew"
Sorex minutus,4,1.0540398474441086,Pygmy shrew or Lesser shrew
Sorex roboratus,4,1.3023056476879764,Brown shrew
Sorex tundrensis,8,1.848512915832616,Tundra shrew
Sorex vagrans,5,1.1216059914247962,Vagrant shrew
Lepus americanus,2000,1.0217631819555841,Snowshoe hare or American varying hare
Lepus europaeus,3884,0.20493901531919198,Brown hare or European hare
Lepus timidus,3178,0.79435508432942,"Mountain hare, Varying hare or Blue hare"
Lepus tolai,2000,0.3507135583350036,Tolai rabbit
Oryctolagus cuniculus,1523,0.4919349550499537,European rabbit
Didelphis virginiana,2000,0.5941380311005179,Virginia opossum
Equus caballus,275000,0.42778499272414877,Horse
Ceratotherium simum,1900000,0.2073644135332772,White rhino
Diceros bicornis,1102000,0.18439088914585774,Black rhinoceros
Macaca fuscata,10000,0.14491376746189438,Japanese macaque or Japanese monkey
Macaca sylvanus,11200,0.10954451150103323,Barbary macaque
Pan troglodytes,41000,0.1673320053068151,Long-haired chimpanzee
Castor canadensis,22900,0.5941380311005179,Beaver
Hydrochaeris hydrochaeris,34500,0.7355270219373317,Capybara
Napaeozapus insignis,23,1.5003332963045244,Woodland jumping mouse
Chaetodipus penicillatus,15,0.4847679857416329,Desert pocket mouse
Dipodomys merriami,37,0.260768096208106,Merriam's kangaroo rat
Dipodomys ordii,58,0.47958315233127197,Ord's kangaroo rat
Dipodomys spectabilis,152,0.6099180272790763,Banner-tailed kangaroo rat
Neotoma albigula,215,0.5019960159204453,White-throated wood rat
Perognathus flavus,8,1.6861198059449987,Silky pocket mouse
Apodemus flavicollis,25,0.69856996786291925,Yellow necked mouse
Apodemus sylvaticus,23,0.6928203230275509,Wood mouse
Arvicola terrestris,180,0.5621387729022078,Water vole
Clethrionomys gapperi,20,1.000499875062461,Southern red-backed vole
Clethrionomys glareolus,22,0.8983317872590283,Bank vole
Clethrionomys rufocanus,39,1.8002777563476142,"Grey-sided vole, red-grey vole"
Clethrionomys rutilus,23,1.2541929676090517,Northern red-backed vole
