assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,candidate,scientific_resolved,SpecID,PassNonPass,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,English,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.5Cat,Diet.Source,Diet.Certainty,Diet.EnteredBy,ForStrat.watbelowsurf,ForStrat.wataroundsurf,ForStrat.ground,ForStrat.understory,ForStrat.midhigh,ForStrat.canopy,ForStrat.aerial,PelagicSpecialist,ForStrat.Source,ForStrat.SpecLevel,ForStrat.EnteredBy,Nocturnal,BodyMass.Value,BodyMass.Source,BodyMass.SpecLevel,BodyMass.Comment,Record.Comment,Diet.VertFishScav,Diet.FruiNect,Diet.PlantSeed,Diet.AllPlants,Effect_Order,Effect_Family,Effect_Species,effect_diet,effect_mass,log10_density,density,body_mass_kg,home_range_size,dispersal_dist,min_patch_size,min_patch_size500,level1_habitats,habitats_mixed,diet_combo,mass_log10,a_pred,b_pred
118448748,22684184,coua verreauxi,ANIMALIA,CHORDATA,cuculiformes,AVES,cuculidae,Coua,verreauxi,NA,NA,NA,"Grandidier, 1867",Least Concern,NA,3.1,Decreasing,Global,NA,coua verreauxi,1815,Nonpasseriformes,Cuculiformes,Cuculidae,Cuckoos,67,BL3,Verreaux's Coua,80,0,0,0,0,0,20,0,0,0,Invertebrate,Ref_4,A,Carolina,0,0,0,0,60,40,0,0,Ref_4,1,Jessica,0,203.75,GenAvg,0,NA,NA,0,20,0,20,-0.065712095,-0.006864233,0,0.181241393478166,-0.7880432456465748,0.6300958679997611,4.266736941617376,0.20375,0.753875,10.419117045124313,2.3437113974524375,117.18556987262188,NA,NA,80_20_0,2.3090976174120144,38914453.37130443,2.4916480011772895
118899364,22698777,neodrepanis hypoxantha,ANIMALIA,CHORDATA,passeriformes,AVES,philepittidae,Neodrepanis,hypoxantha,NA,NA,NA,"Salomonsen, 1933",Vulnerable,A3bc,3.1,Decreasing,Global,NA,neodrepanis hypoxantha,5730,Passeriformes,Passeriformes,Philepittidae,Asities,100,BL3,Yellow-bellied Asity,20,0,0,0,0,0,0,80,0,0,FruiNect,Ref_8,A,Jennifer,0,0,0,0,40,60,0,0,Ref_8,1,Jessica,0,7.1,Dunning08,1,NA,NA,0,80,0,80,0.637010004,0,0,0.42760614375972505,-0.2905153887604689,2.0835748071674263,121.22014723372202,0.0070999999999999995,0.026269999999999998,1.944962724578546,0.08249453765073565,4.124726882536782,NA,NA,20_80_0,0.8512583487190752,3419001.5775840394,1.8089982138458005
126620242,22715078,randia pseudozosterops,ANIMALIA,CHORDATA,passeriformes,AVES,bernieridae,Randia,pseudozosterops,NA,NA,NA,"Delacour & Berlioz, 1931",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global,NA,randia pseudozosterops,10878,Passeriformes,Passeriformes,Sylviidae,Old World warblers,161,BL3,Rand's Warbler,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_11,A,Jennifer,0,0,0,0,80,20,0,0,Ref_11,1,Jessica,0,11,PrimScale,1,MarceloR,NA,0,0,0,0,0.637010004,0.012465967,0,0.181241393478166,-0.3554039748758953,1.7847874377704407,60.92386369001319,0.011,0.0407,2.4209089202198415,0.16413929442953612,8.206964721476806,NA,NA,100_0_0,1.0413926851582251,530225393.3704201,2.7799819159262693
129881558,22692966,mesitornis unicolor,ANIMALIA,CHORDATA,mesitornithiformes,AVES,mesitornithidae,Mesitornis,unicolor,NA,NA,NA,"(Des Murs, 1845)",Vulnerable,A2cde+3cde+4cde; C1+2a(i),3.1,Decreasing,Global,NA,mesitornis unicolor,3954,Nonpasseriformes,Mesitornithiformes,Mesitornithidae,Mesites,38,BL3,Brown Mesite,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_3,B,Carolina,0,0,100,0,0,0,0,0,Ref_3,1,Jessica,0,148,Dunning08,1,NA,NA,0,0,0,0,0.108188068,0.011301239,0,0.181241393478166,-0.740661665061682,0.869543083584654,7.4053072713579455,0.148,0.5476,8.879999999999999,1.3503828583423862,67.51914291711931,Forest,Forest,100_0_0,2.1702617153949575,95921363.20269193,2.6652335576119737
129882359,22692949,mesitornis variegatus,ANIMALIA,CHORDATA,mesitornithiformes,AVES,mesitornithidae,Mesitornis,variegatus,NA,NA,NA,"Geoffroy Saint-Hilaire, 1838",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global,NA,mesitornis variegatus,3953,Nonpasseriformes,Mesitornithiformes,Mesitornithidae,Mesites,38,BL3,White-breasted Mesite,80,0,0,0,0,0,0,0,20,0,Invertebrate,Ref_3,A,Carolina,0,0,50,50,0,0,0,0,Ref_3,1,Jessica,0,113,PrimScale,1,MarceloR,NA,0,0,20,20,0.108188068,0.011301239,0,0.181241393478166,-0.7006696416685123,0.9095351069778237,8.11960882605389,0.113,0.4181,7.759278316957062,1.231586424202159,61.57932121010795,Forest,Forest,80_20_0,2.0530784434834195,55363412.36733224,2.513895679915487
129916593,22695613,accipiter madagascariensis,ANIMALIA,CHORDATA,accipitriformes,AVES,accipitridae,Accipiter,madagascariensis,NA,NA,NA,"Smith, 1834",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global,NA,accipiter madagascariensis,4751,Nonpasseriformes,Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",36,BL3,Madagascar Sparrowhawk,20,60,20,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,0,25,25,25,25,0,Ref_2,1,Jessica,0,180.41,Dunning08,1,NA,NA,80,0,0,0,-0.462666813,-0.048329803,0,0,-0.7700111584598864,0.028466273708283474,1.0677418709878939,0.18041,3.032450916663559,20.896720603950097,9.36555947810478,468.277973905239,"Forest, Shrubland","Forest, Shrubland",20_0_80,2.256260606512207,297413.11563483364,1.5330145319232937
130089475,22684152,coua coquereli,ANIMALIA,CHORDATA,cuculiformes,AVES,cuculidae,Coua,coquereli,NA,NA,NA,"Grandidier, 1867",Least Concern,NA,3.1,Decreasing,Global,NA,coua coquereli,1809,Nonpasseriformes,Cuculiformes,Cuculidae,Cuckoos,67,BL3,Coquerel's Coua,80,0,0,0,0,0,20,0,0,0,Invertebrate,Ref_4,A,Carolina,0,0,50,30,20,0,0,0,Ref_4,1,Jessica,0,160,Dunning08,1,NA,NA,0,20,0,20,-0.065712095,-0.006864233,0.236681835,0.181241393478166,-0.7522167325577915,0.9026042160885444,7.991056771835508,0.16,0.5920000000000001,9.232984349602246,1.2513989432843244,62.569947164216224,"Forest, Shrubland","Forest, Shrubland",80_20_0,2.2041199826559246,44879213.24935061,2.5005291123775986
130089830,22684156,coua serriana,ANIMALIA,CHORDATA,cuculiformes,AVES,cuculidae,Coua,serriana,NA,NA,NA,"Pucheran, 1845",Least Concern,NA,3.1,Decreasing,Global,NA,coua serriana,1810,Nonpasseriformes,Cuculiformes,Cuculidae,Cuckoos,67,BL3,Red-breasted Coua,10,0,0,0,0,0,70,0,20,0,FruiNect,Ref_4,A,Carolina,0,0,70,30,0,0,0,0,Ref_4,1,Other,0,293,Dunning08,1,NA,NA,0,70,20,90,-0.065712095,-0.006864233,0,0.42760614375972505,-0.8418866103647387,0.8226172535631562,6.646871051011388,0.293,1.0841,12.494414752200282,1.5044672784013766,75.22336392006882,Forest,Forest,10_90_0,2.4668676203541096,456596.4971898617,1.6306810248256867
130093879,22684160,coua reynaudii,ANIMALIA,CHORDATA,cuculiformes,AVES,cuculidae,Coua,reynaudii,NA,NA,NA,"Pucheran, 1845",Least Concern,NA,3.1,Decreasing,Global,NA,coua reynaudii,1811,Nonpasseriformes,Cuculiformes,Cuculidae,Cuckoos,67,BL3,Red-fronted Coua,70,0,10,0,0,0,10,0,10,0,Invertebrate,Ref_4,A,Carolina,0,0,50,50,0,0,0,0,Ref_4,1,Jessica,0,153,Dunning08,1,NA,NA,10,10,10,20,-0.065712095,-0.006864233,0,0.181241393478166,-0.7455862034136636,0.6725529102326724,4.704927225101006,0.153,0.5661,9.028754066868807,2.125431387471741,106.27156937358706,"Forest, Shrubland","Forest, Shrubland",70_20_10,2.184691430817599,NA,NA
130094351,22684164,coua cursor,ANIMALIA,CHORDATA,cuculiformes,AVES,cuculidae,Coua,cursor,NA,NA,NA,"Grandidier, 1867",Least Concern,NA,3.1,Decreasing,Global,NA,coua cursor,1812,Nonpasseriformes,Cuculiformes,Cuculidae,Cuckoos,67,BL3,Running Coua,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_4,A,Carolina,0,0,100,0,0,0,0,0,Ref_4,1,Jessica,0,110,Dunning08,1,NA,NA,0,0,0,0,-0.065712095,-0.006864233,0,0.181241393478166,-0.6966815543529362,0.7214575592933997,5.26571754029788,0.11,0.40700000000000003,7.65558619571356,1.8990764171209806,94.95382085604903,"Forest, Shrubland","Forest, Shrubland",100_0_0,2.041392685158225,117203053.71293163,2.679897191771986
