Species,Mass,sigma,Common_Name
Aix sponsa,660,0.14832396974191325,Wood duck
Anas acuta,1010,0.23664319132398465,Northern pintail
Anas americana,755,0.1673320053068151,American widgeon
Anas clypeata,610,0.2,Northern shoveler
Anas crecca,340,0.2683281572999748,Green winged teal
Anas discors,385,0.18973665961010275,Blue winged teal
Anas penelope,772,0.7981227975693966,Eurasian wigeon
Anas platyrhynchos,1082,0.1414213562373095,Mallard
Anas querquedula,326,0.8769264507357502,Garganey
Anas strepera,920,0.18973665961010275,Gadwall
Aythya affinis,820,0.15165750888103102,Lesser scaup
Aythya americana,1045,0.2024845673131659,Redhead
Aythya collaris,705,1.1755849607748476,Ring-necked duck
Aythya fuligula,1200,0.2810693864511039,Tufted duck
Aythya valisineria,1219,0.21908902300206645,Canvasback
Branta bernicla bernicla,1725,0.25099800796022265,Dark-bellied brent goose
Branta bernicla nigricans,1300,0.8099382692526635,Brant goose or Brent goose
Branta canadensis,3564,0.1673320053068151,Canada goose
Bucephala albeola,404,0.8240145629781066,Bufflehead
Chen caerulescens atlanticus,2631,0.3065941943351178,Greater Snow Goose
Chen caerulescens caerulescens,2350,0.11832159566199232,Lesser snow goose
Cygnus buccinator,10000,1.5662056059151366,Trumpeter Swan
Cygnus olor,10735,0.07745966692414834,Mute Swan
Mergus cucullatus,610,0.5639148871948674,Hooded merganser
Mergus serrator,1022,0.9455157322858251,Red-breasted merganser
Oxyura jamaicensis,545,0.8854377448471462,Ruddy duck
Somateria mollissima,2067,0.3178049716414141,Common eider
Selasphorus platycercus,5,0.6610597552415364,Broad-tailed hummingbird
Fratercula arctica,381,0.1,Puffin
Charadrius hiaticula,64,0.23874672772626646,Ringed Plover
Pluvialis squatarola,220,0.17888543819998318,Grey Plover
Vanellus vanellus,219,0.5440588203494178,Lapwing
Haematopus ostralegus,526,0.1,Eurasian oystercatcher
Catharacta maccormicki,1156,0.1414213562373095,South Polar Skua
Rissa tridactyla,407,0.21447610589527216,Kittiwake
Arenaria interpres,115,0.10954451150103323,Ruddy Turnstone
Calidris alba,57,0.19493588689617927,Sanderling
Calidris alpina,47,0.130384048104053,Dunlin
Calidris canutus,137,0.15811388300841897,Red knot
Limosa lapponica,343,0.17606816861659008,Bar-tailed godwit
Limosa limosa,291,0.21213203435596426,Black-tailed godwit
Numenius arquata,600,0.11401754250991379,Eurasian curlew
Scolopax rusticola,310,0.5272570530585627,Woodcock
Tringa nebularia,174,0.31464265445104544,Greenshank
Tringa totanus,129,0.130384048104053,Redshank
Ardea cinerea,1443,0.1,Grey heron
Ardea purpurea,874,0.27386127875258304,Purple heron
Ciconia ciconia,3473,0.2588435821108957,White stork
Nipponia nippon,1200,0.2469817807045694,Crested ibis
Columba oenas,291,0.4658325879540846,Stock pigeon
Columba palumbus,490,0.5039841267341661,Common wood-pigeon
Zenaida macroura,119,1.4363147287415805,Mourning dove
Columba mayeri,300,0.28809720581775866,Pink pigeon
Coccyzus americanus,64,0.7509993342207435,Yellow billed cuckoo
Accipiter gentilis,1025,0.9664367542679656,Northern goshawk
Accipiter nisus,238,0.1224744871391589,Eurasian sparrowhawk
Aquila chrysaetos,4195,0.2345207879911715,Golden eagle
Buteo lagopus,956,1.200833044182246,Rough-legged hawk (buzzard)
Buteo lineatus,559,0.8977750274985377,Red-shouldered hawk or Buzzard
Circus cyaneus,435,1.7804493814764855,Marsh hawk or Hen harrier
Haliaeetus leucocephalus,4740,0.6049793384901669,Bald eagle
Milvus milvus,1080,0.260768096208106,Red Kite
Rostrhamus sociabilis,378,0.43474130238568315,Snail Kite
Gymnogyps californianus,10104,0.35213633723318016,California Condor
Falco peregrinus,782,0.161245154965971,Peregrine falcon
Falco rusticolus,1461,0.372827037646145,Gyr falcon
Falco sparverius,116,1.1601724009818541,American hawk or kestrel
Falco tinnunculus,202,1.0290772565750348,Eurasian kestrel
Callipepla californica,173,0.6,California quail
Alectoris rufa,480,0.17606816861659008,Red-legged partridge
Perdix perdix,390,0.7674633541739957,Grey partridge
Phasianus colchicus,1135,1.2653062870309306,Ring-necked pheasant
Bonasa bonasia,429,0.9471008394041259,Hazel grouse
Bonasa umbellus,577,0.39496835316262996,Ruffed grouse
Colinus virginianus,178,0.4,Northern bobwhite or Bobwhite quail
Dendragapus canadensis,474,0.7829431652425354,Spruce grouse
Dendragapus obscurus,1040,0.4593473631142341,Blue grouse
Lagopus lagopus lagopus,550,0.14832396974191325,Willow grouse or Willow ptarmigan
Lagopus lagopus lagopus scoticus,559,0.6418722614352484,Red grouse
Lagopus mutus,422,0.9,Rock ptarmigan
Tetrao tetrix,1083,0.9186947262284682,Black grouse
Tetrao urogallus,2950,0.16431676725154984,Western capercaillie or Wood grouse
Tympanuchus cupido,900,0.6356099432828282,Prairie grouse or greater prairie chicken
Tympanuchus phasianellus,885,0.7321202087089251,Sharp-tailed grouse
Grus americana,5826,0.15165750888103102,Whooping crane
Grus canadensis,3166,0.2949576240750525,Sandhill crane
Gallinula chloropus,303,0.3209361307176242,Moorhen
Alauda arvensis,40,0.3301514803843836,Skylark
Certhia americana,8.4,0.9273618495495703,Brown creeper
Certhia familiaris,9,0.6090976933136424,Treecreeper
Cinclus cinclus,60,0.4679743582719036,Eurasian dipper
Aphelocoma ultramarina,125,0.21213203435596426,Mexican Jay
Corvus brachyrhynchos,448,1.4449913494550755,American crow
Corvus corone,570,0.24083189157584592,Carrion crow
Corvus frugilegus,488,0.19235384061671346,Rook
Corvus monedula,246,0.21908902300206645,Jackdaw
Cyanocitta cristata,86.8,0.7962411694957753,Blue jay
Garrulus glandarius,161,0.37549966711037175,Eurasian jay
Cardinalis cardinalis,45,0.6855654600401044,Cardinal
Dendroica kirtlandii,14,0.1414213562373095,Kirtland's Warbler
Emberiza citrinella,26.5,0.4527692569068708,Yellowhammer
Emberiza schoeniclus,18,0.4147288270665544,Reed bunting
Junco hyemalis,20,1.5846135175493108,Dark-eyed junco
Melospiza melodia,21,0.9481561052906847,Song sparrow
Passerina cyanea,14.5,0.37682887362833545,Indigo bunting
Pheucticus melanocephalus,42,0.4147288270665544,Rose-breasted grosbeak
Pipilo erythrophthalmus,41,0.35213633723318016,Rufous-sided towhee
Piranga olivacea,28.6,0.5059644256269407,Scarlet tanager
Spiza americana,27,0.37682887362833545,Dickcissel
Spizella arborea,20,1.6186414056238645,American tree sparrow
Spizella pusilla,12.5,0.8769264507357502,Field sparrow
Carduelis cannabina,15.3,0.4898979485566356,Linnet
Carduelis carduelis,15.6,0.19235384061671346,Goldfinch
Carduelis chloris,30,0.4312771730569565,Greenfinch
Carduelis flammea,13,1.3740451229854134,Redpoll
Carduelis spinus,14.5,1.0812030336620408,Spruce siskin
Carduelis tristis,13,0.7307530362578044,American goldfinch
Carpodacus erythrinus,24,0.5674504383644443,Common rosefinch
Coccothraustes coccothraustes,54,0.29832867780352595,Hawfinch
Fringilla coelebs,21,0.5089204259999789,Chaffinch
Fringilla montifringilla,24,0.40987803063838396,Brambling
Geospiza fortis,24,0.6833739825307955,Medium ground finch
Geospiza scandens,23,0.469041575982343,Cactus finch
Loxia curvirostra,36.5,2.266495091545534,Red crossbill
Pyrrhula pyrrhula,21.8,0.5403702434442518,Northern Bullfinch
Delichon urbica,15,0.33763886032268264,House martin
Hirundo rustica,16,0.31937438845342625,Swallow
Petrochelidon pyrrhonota,21.6,0.4979959839195493,Cliff swallow
Lanius collurio,29.9,0.2073644135332772,Red-backed shrike
Lanius excubitor,66,1.2186057606953942,Northern shrike
Lichenostomus melanops,45,0.15811388300841897,Helmeted Honeyeater
Dumetella carolinensis,36.9,0.9343446901438462,Gray catbird
Toxostoma rufum,68.8,0.6752777206453653,Brown thrasher
Anthus pratensis,18,0.15491933384829668,Meadow pipit
Anthus spinoletta,30,0.31464265445104544,Water Pipit
Anthus trivialis,23,0.4449719092257398,Tree pipit
Motacilla alba,21,0.3449637662132068,Pied wagtail
Motacilla flava,17.6,0.5244044240850758,Yellow wagtail
Copsychus sechellarum,73,0.15491933384829668,Seychelles Magpie Robin
Erithacus rubecula,18,0.18708286933869708,Robin
Ficedula albicollis,13,0.5049752469181039,Collared flycatcher
Ficedula hypoleuca,13,0.28982753492378877,Pied flycatcher
Ficedula parva,10.7,0.28809720581775866,Red-breasted flycatcher
Luscinia megahrynchos,18.3,0.2469817807045694,Nightingale
Luscinia svecica,18.2,0.6826419266350405,Bluethroat
Muscicapa striata,14.6,0.24899799195977465,Spotted flycatcher
Oenanthe oenanthe,23,0.25495097567963926,Wheatear
Phoenicurus ochruros,16.5,0.403732584763727,Black redstart
Phoenicurus phoenicurus,15,0.2345207879911715,Common redstart
Parus afer,19.8,0.5357238094391549,Coal tit
Parus bicolor,21.6,0.6782329983125268,Tufted titmouse
Parus caeruleus,13.3,0.4242640687119285,Blue tit
Parus major,19,0.433589667773576,Great tit
Parus montanus,10,0.7218032973047436,Willow tit
Parus palustris,10.6,0.5665686189686118,Marsh tit
Poecile atricapillus,11,0.36055512754639896,Black-capped chickadee
Dendroica caerulescens,10,0.2683281572999748,Black-throated blue warbler
Dendroica fusca,10,0.7563068160475614,Blackburnian warbler
Dendroica virens,8.8,0.2683281572999748,Black-throated green warbler
Geothlypis trichas,10,0.7707139547199077,Common yellowthroat
Icteria virens,25,0.5558776843874919,Yellow-breasted chat
Seiurus aurocapillus,19.4,0.30495901363953815,Ovenbird
Setophaga ruticilla,8,0.3714835124201342,American redstart
Passer domesticus,28,0.7252585745787499,House sparrow
Petroica traversi,23,0.3331666249791536,Black robin
Prunella modularis,19.7,0.38600518131237566,Hedge sparrow or Dunnock
Sitta carolinensis,21,0.8683317338436964,White-breasted nuthatch
Sitta europaea,22,0.5468089245796927,Nuthatch
Sturnus vulgaris,82,0.45166359162544856,Starling
Acrocephalus schoenobaenus,12,0.4669047011971501,Sedge warbler
Acrocephalus scirpaceus,12.3,0.35916569992135944,Reed warbler
Hippolais icterina,14.6,0.30983866769659335,Icterine warbler
Phylloscopus collybita,8,0.3687817782917155,Chiffchaff
Phylloscopus sibilatrix,8,0.8683317338436964,Wood warbler
Phylloscopus trochilus,9,0.469041575982343,Willow warbler
Regulus regulus,5.7,0.4147288270665544,Goldcrest
Sylvia atricapilla,15.5,0.5205766033928149,Blackcap
Sylvia borin,14,0.5079370039680118,Garden warbler
Sylvia communis,14.5,0.22135943621178655,Whitethroat
Sylvia curruca,10,0.408656334834051,Lesser whitethroat
Turdoides squamiceps,73,0.33763886032268264,Arabian Babbler
Troglodytes aedon,10.9,0.5176871642217914,House wren
Troglodytes troglodytes,9,0.6928203230275509,Wren
Catharus fuscescens,31,0.5128352561983234,Veery
Catharus guttatus,31,0.552268050859363,Hermit thrush
Catharus ustulatus,31,0.36055512754639896,Swainson's thrush
Hylocichla mustelina,52,0.5310367218940701,Wood thrush
Turdus iliacus,61,0.3535533905932738,Redwing
Turdus merula,113,0.32710854467592254,Blackbird
Turdus migratorius,77,0.752329714952161,American robin
Turdus philomelos,68,0.532916503778969,Song thrush
Turdus pilaris,106,0.6457553716385176,Fieldfare
Ixoreus naevius,83,0.130384048104053,Varied thrush
Luscinia luscinia,23.8,0.47853944456021597,Thrush nightingale
Contopus virens,14,0.4219004621945797,Eastern wood-pewee
Empidonax minimus,10,0.6220932405998316,Least flycatcher
Myiarchus crinitus,33.5,0.39496835316262996,Great crested flycatcher
Vireo griseus,11.4,0.8111719916269299,White-eyed vireo
Vireo olivaceus,16.7,0.5019960159204453,Red-eyed vireo
Vireo philadelphicus,14,0.4,Philadelphia vireo
Zosterops lateralis,12.9,0.22360679774997896,Heron Island silvereye
Phalacrocorax aristotelis,1769,0.41231056256176607,European shag
Phalacrocorax carbo,2110,0.23021728866442676,Great cormorant
Colaptes auratus,132,0.4404543109109048,Common flicker
Dendrocopos medius,59,0.2863564212655271,Middle Spotted Woodpecker
Melanerpes carolinus,62,0.48373546489791297,Red-bellied woodpecker
Melanerpes erythrocephalus,71.6,0.5253570214625479,Red-headed woodpecker
Picoides pubescens,27,0.4012480529547776,Downy woodpecker
Picoides villosus,66,0.47958315233127197,Hairy woodpecker
Melanerpes formicivorus,81,0.2645751311064591,Acorn Woodpecker
Picoides borealis,43.6,0.10954451150103323,Red-cockaded woodpecker
Podiceps cristatus,674,0.9984988733093293,Great crested grebe
Fulmarus glacialis,544,0.3065941943351178,Fulmar
Diomedea exulans,7650,0.10488088481701516,Wandering albatross
Amazona vittata,275,0.1341640786499874,Puerto Rican Parrot
Pterocles namaqua,177,2.503597411725775,Namaqua sandgrouse
Megadyptes antipodes,1000,0.10488088481701516,Yellow-eyed Penguin
Aegolius funereus,135,1.3183322798141597,Tengmalm's owl
Asio otus,262,1.3780420893427021,Long-eared owl
Bubo virginianus,1543,0.8408329203831163,Great horned owl
Strix uralensis,785,0.5761944116355173,Ural owl
Surnia ulula,322,1.8976301009416983,Northern hawk owl
Tyto alba,520,0.40987803063838396,Barn owl
