Mass,sigma,Scientific,English,SpecID,PassNonPass,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,Diet_Inv,Diet_Vend,Diet_Vect,Diet_Vfish,Diet_Vunk,Diet_Scav,Diet_Fruit,Diet_Nect,Diet_Seed,Diet_PlantO,Diet_5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment,Diet_VertFishScav,Diet_FruiNect,Diet_PlantSeed,Diet_AllAnimals,Diet_AllPlants
660,0.14832396974191325,aix sponsa,wood duck,659,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,0,0,0,0,0,0,0,0,50,50,PlantSeed,Ref_1,A,Jennifer,0,80,20,0,0,0,0,0,Ref_1,1,Other,0,657.59,Dunning08,1,NA,NA,0,0,100,0,100
1010,0.23664319132398465,anas acuta,northern pintail,708,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,20,0,0,0,10,0,0,0,20,50,PlantSeed,Ref_1,A,Jennifer,0,70,30,0,0,0,0,0,Ref_1,1,Jessica,0,944.62,Dunning08,1,NA,NA,10,0,70,30,70
755,0.1673320053068151,anas americana,american widgeon,674,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,0,0,0,0,0,0,0,0,0,100,PlantSeed,Ref_1,A,Jennifer,0,50,50,0,0,0,0,0,Ref_1,1,Jessica,0,754.61,Dunning08,1,NA,NA,0,0,100,0,100
610,0.2,anas clypeata,northern shoveler,695,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,60,0,0,0,0,0,0,0,20,20,Invertebrate,Ref_1,A,Jennifer,20,80,0,0,0,0,0,0,Ref_1,1,Jessica,0,612.56,Dunning08,1,NA,NA,0,0,40,60,40
340,0.2683281572999748,anas crecca,green winged teal,714,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,30,0,0,0,0,0,0,0,20,50,PlantSeed,Ref_1,A,Jennifer,0,100,0,0,0,0,0,0,Ref_1,1,Jessica,0,341.89,Dunning08,1,NA,NA,0,0,70,30,70
385,0.18973665961010275,anas discors,blue winged teal,690,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,10,0,0,0,0,0,0,0,30,60,PlantSeed,Ref_1,A,Jennifer,0,100,0,0,0,0,0,0,Ref_1,1,Jessica,0,359.44,Dunning08,1,NA,NA,0,0,90,10,90
772,0.7981227975693966,anas penelope,eurasian wigeon,673,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,0,0,0,0,0,0,0,0,20,80,PlantSeed,Ref_1,A,Jennifer,0,50,50,0,0,0,0,0,Ref_1,1,Jessica,0,770.03,Dunning08,1,NA,NA,0,0,100,0,100
1082,0.1414213562373095,anas platyrhynchos,mallard,679,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,40,0,10,10,0,0,0,0,20,20,Omnivore,Ref_1,A,Jennifer,20,60,20,0,0,0,0,0,Ref_1,1,Jessica,0,843.42,Dunning08,1,NA,NA,20,0,40,60,40
326,0.8769264507357502,anas querquedula,garganey,712,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,40,0,10,10,0,0,0,0,10,30,Omnivore,Ref_1,A,Jennifer,100,0,0,0,0,0,0,0,Ref_1,1,Jessica,0,325.6,Dunning08,1,NA,NA,20,0,40,60,40
920,0.18973665961010275,anas strepera,gadwall,671,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,0,0,0,0,0,0,0,0,30,70,PlantSeed,Ref_1,A,Jennifer,0,80,20,0,0,0,0,0,Ref_1,1,Jessica,0,915.58,Dunning08,1,NA,NA,0,0,100,0,100
820,0.15165750888103102,aythya affinis,lesser scaup,739,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,20,0,0,0,0,0,0,0,30,50,PlantSeed,Ref_1,A,Jennifer,100,0,0,0,0,0,0,0,Ref_1,1,Jessica,0,819.45,Dunning08,1,NA,NA,0,0,80,20,80
1045,0.2024845673131659,aythya americana,redhead,729,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,10,0,0,0,0,0,0,0,20,70,PlantSeed,Ref_1,A,Jennifer,50,50,0,0,0,0,0,0,Ref_1,1,Jessica,0,1075.69,Dunning08,1,NA,NA,0,0,90,10,90
705,1.1755849607748476,aythya collaris,ring-necked duck,730,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,20,0,0,0,0,0,0,0,20,60,PlantSeed,Ref_1,A,Jennifer,0,100,0,0,0,0,0,0,Ref_1,1,Jessica,0,704.55,Dunning08,1,NA,NA,0,0,80,20,80
1200,0.2810693864511039,aythya fuligula,tufted duck,736,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,50,0,0,0,0,10,0,0,20,20,Omnivore,Ref_1,A,Jennifer,60,40,0,0,0,0,0,0,Ref_1,1,Jessica,0,701.17,Dunning08,1,NA,NA,10,0,40,60,40
1219,0.21908902300206645,aythya valisineria,canvasback,728,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,10,0,0,10,0,0,0,0,20,60,PlantSeed,Ref_1,A,Jennifer,60,40,0,0,0,0,0,0,Ref_1,1,Jessica,0,1202,Dunning08,1,NA,NA,10,0,80,20,80
1725,0.25099800796022265,branta bernicla bernicla,dark-bellied brent goose,616,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,0,0,0,0,0,0,0,0,0,100,PlantSeed,Ref_1,A,Jennifer,0,40,60,0,0,0,0,0,Ref_1,1,Jessica,0,1277.91,Dunning08,1,NA,NA,0,0,100,0,100
1300,0.8099382692526635,branta bernicla nigricans,brant goose or brent goose,616,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,0,0,0,0,0,0,0,0,0,100,PlantSeed,Ref_1,A,Jennifer,0,40,60,0,0,0,0,0,Ref_1,1,Jessica,0,1277.91,Dunning08,1,NA,NA,0,0,100,0,100
3564,0.1673320053068151,branta canadensis,canada goose,613,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,0,0,0,0,0,0,10,0,0,90,PlantSeed,Ref_1,A,Jennifer,0,40,60,0,0,0,0,0,Ref_1,1,Jessica,0,2811.68,Dunning08,1,NA,NA,0,10,90,0,100
404,0.8240145629781066,bucephala albeola,bufflehead,760,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,70,0,0,20,0,0,0,0,10,0,Invertebrate,Ref_1,A,Jennifer,100,0,0,0,0,0,0,0,Ref_1,1,Jessica,0,397.46,Dunning08,1,NA,NA,20,0,10,90,10
2631,0.3065941943351178,chen caerulescens atlanticus,greater snow goose,609,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,0,0,0,0,0,0,0,0,10,90,PlantSeed,Ref_1,A,Jennifer,0,20,80,0,0,0,0,0,Ref_1,1,Jessica,0,2636.15,Dunning08,1,NA,NA,0,0,100,0,100
2350,0.11832159566199232,chen caerulescens caerulescens,lesser snow goose,609,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,0,0,0,0,0,0,0,0,10,90,PlantSeed,Ref_1,A,Jennifer,0,20,80,0,0,0,0,0,Ref_1,1,Jessica,0,2636.15,Dunning08,1,NA,NA,0,0,100,0,100
10000,1.5662056059151366,cygnus buccinator,trumpeter swan,590,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,10,0,0,0,0,0,0,0,20,70,PlantSeed,Ref_1,A,Jennifer,0,100,0,0,0,0,0,0,Ref_1,1,Jessica,0,11071.13,Dunning08,1,NA,NA,0,0,90,10,90
10735,0.07745966692414834,cygnus olor,mute swan,586,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,10,0,10,0,0,0,0,0,0,80,PlantSeed,Ref_1,A,Jennifer,0,100,0,0,0,0,0,0,Ref_1,1,Jessica,0,10682.04,Dunning08,1,NA,NA,10,0,80,20,80
1022,0.9455157322858251,mergus serrator,red-breasted merganser,764,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,20,0,0,70,0,0,0,0,0,10,VertFishScav,Ref_1,A,Jennifer,80,20,0,0,0,0,0,0,Ref_1,1,Jessica,0,1015.17,Dunning08,1,NA,NA,70,0,10,90,10
545,0.8854377448471462,oxyura jamaicensis,ruddy duck,573,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,60,0,0,0,0,0,0,0,40,0,Invertebrate,Ref_1,A,Jennifer,100,0,0,0,0,0,0,0,Ref_1,1,Jessica,0,608.15,Dunning08,1,NA,NA,0,0,40,60,40
2067,0.3178049716414141,somateria mollissima,common eider,740,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,70,0,0,10,0,0,10,0,0,10,Invertebrate,Ref_1,A,Jennifer,80,20,0,0,0,0,0,0,Ref_1,1,Jessica,0,2060.93,Dunning08,1,NA,NA,10,10,10,80,20
5,0.6610597552415364,selasphorus platycercus,broad-tailed hummingbird,2812,Nonpasseriformes,Apodiformes,Trochilidae,Hummingbirds,79,BL3,10,0,0,0,0,0,0,90,0,0,FruiNect,Ref_5,A,Hamish,0,0,0,80,20,0,0,0,Ref_5,1,Christian,0,3.54,Dunning08,1,NA,NA,0,90,0,10,90
381,0.1,fratercula arctica,puffin,4532,Nonpasseriformes,Charadriiformes,Alcidae,Auks,63,BL3,20,0,0,80,0,0,0,0,0,0,VertFishScav,Ref_3,A,Carolina,100,0,0,0,0,0,0,1,Ref_3,1,Jessica,0,593.01,Dunning08,1,NA,NA,80,0,0,100,0
