combo,effect,Diet_Inv,Diet_AllPlants,Diet_VertFishScav
100_0_0,-0.20275364861441775,100,0,0
20_0_80,0.05155639337468322,20,0,80
80_20_0,-0.166377766748324,80,20,0
10_90_0,0.031116990072887415,10,90,0
0_0_100,0.14244560683850463,0,0,100
0_100_0,0.060308041775913104,0,100,0
20_80_0,-0.025797178983914662,20,80,0
30_70_0,-0.060592422079718766,30,70,0
90_10_0,-0.19169796986304072,90,10,0
40_30_30,-0.022485045383743962,40,30,30
80_0_20,-0.13291864042975252,80,0,20
70_30_0,-0.1465147446148374,70,30,0
50_50_0,-0.10834056479557691,50,50,0
10_0_90,0.11219994433481578,10,0,90
90_0_10,-0.18018606656448255,90,0,10
70_0_30,-0.10021731583459412,70,0,30
60_0_40,-0.07237201507193156,60,0,40
30_0_70,0.012533125789569513,30,0,70
50_0_50,-0.04586878776209134,50,0,50
70_10_20,-0.11402950321822147,70,10,20
60_20_20,-0.08586682847253774,60,20,20
40_60_0,-0.08666117832475678,40,60,0
