assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,candidate,scientific_resolved,MSW3_ID,MSWFamilyLatin,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,ForStrat.Comment,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,Activity.Source,Activity.Certainty,BodyMass.Value,BodyMass.Source,BodyMass.SpecLevel,Diet.VertFishScav,Diet.FruiNect,Diet.PlantSeed,Diet.AllPlants,Diet.AllAnimal,Diet,Effect_Order,Effect_Family,Effect_Species,effect_diet,log10_density,density,body_mass_kg,home_range_size,dispersal_dist,min_patch_size,min_patch_size500,level1_habitats,habitats_mixed,a_pred,b_pred
16113437,13325,microcebus myoxinus,ANIMALIA,CHORDATA,primates,MAMMALIA,cheirogaleidae,Microcebus,myoxinus,NA,NA,NA,"Peters, 1852",Vulnerable,A2c+4c,3.1,Decreasing,Global,NA,microcebus myoxinus,483,Cheirogaleidae,20,0,20,0,0,0,30,10,0,20,Ref_2,D1,Ar,A,NA,1,0,0,Ref_1,ABC,30,Ref_117,1,20,40,20,60,40,omnivore,-0.02762622,0.445551765,0.249764544,-0.0552981064,2.6069327617768017,404.51325940635047,0.03,0.00162,0.22539565213197876,0.024721068512502286,1.2360534256251143,Forest,Forest,189453680.56777874,2.218948274576237
16971464,16971461,microcebus gerpi,ANIMALIA,CHORDATA,primates,MAMMALIA,cheirogaleidae,Microcebus,gerpi,NA,NA,NA,"Radespiel, Ratsimbazafy, Rasoloharijaona, Raveloson, Andriaholinirina, Rakotondravony, Randrianarison  &amp; Randrianambinina, 2012",Critically Endangered,"B1ab(i,ii,iii)+2ab(i,ii,iii)",3.1,Decreasing,Global,NA,microcebus gerpi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02762622,0.445551765,0,0,NA,NA,NA,NA,NA,NA,NA,Forest,Forest,NA,NA
17971784,136532,palaeopropithecus ingens,ANIMALIA,CHORDATA,primates,MAMMALIA,palaeopropithecidae,Palaeopropithecus,ingens,NA,NA,NA,"G. Grandidier, 1899",Extinct,NA,3.1,NA,Global,NA,palaeopropithecus ingens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02762622,0,0,0,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,NA
21282528,136628,microgale jobihely,ANIMALIA,CHORDATA,afrosoricida,MAMMALIA,tenrecidae,Microgale,jobihely,NA,NA,NA,"Goodman, Raxworthy, Maminirina &amp; Olson, 2006",Endangered,B2ab(iii),3.1,Unknown,Global,NA,microgale jobihely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,Forest,Forest,NA,NA
22155877,41788,cervus nippon,ANIMALIA,CHORDATA,artiodactyla,MAMMALIA,cervidae,Cervus,nippon,NA,NA,NA,"Temminck, 1838",Least Concern,NA,3.1,Increasing,Global,NA,cervus nippon,5308,Cervidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,NA,1,1,0,Ref_1,ABC,53000,Ref_117,1,0,0,100,100,0,herbivore,0,0.097720054,0,-0.1003301887,0.9215028194284092,8.346469667659976,53,2.862,9.473770104873772,1.198111345057294,59.9055672528647,"Grassland, Forest, Shrubland, Artificial - Terrestrial","Grassland, Forest, Shrubland, Arable & Pastureland",74897450.16995753,2.6406663948282083
22233042,136539,monticolomys koopmani,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Monticolomys,koopmani,NA,NA,NA,"Carleton &amp; Goodman, 1996",Least Concern,NA,3.1,Unknown,Global,NA,monticolomys koopmani,1305,Nesomyidae,10,0,0,0,0,0,20,0,50,20,Ref_1,ABC,S,A,NA,1,0,0,Ref_3,D2,25,Ref_117,1,0,20,70,90,10,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.3654294788587458,231.9687481978352,0.025,0.00135,0.20575713839378695,0.04310925535310244,2.155462767655122,Forest,Forest,163300155.81671488,2.1841630694634393
22234256,2997,brachyuromys betsileoensis,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Brachyuromys,betsileoensis,NA,NA,NA,"(Bartlett, 1880)",Least Concern,NA,3.1,Unknown,Global,NA,brachyuromys betsileoensis,1326,Nesomyidae,10,0,0,0,0,0,30,0,50,10,Ref_1,ABC,Ar,A,NA,1,1,1,Ref_1,ABC,92.5,Ref_117,1,0,30,60,90,10,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.1781212019770653,150.70275855472127,0.0925,0.004995,0.39578175804349547,0.06635578602477225,3.3177893012386126,"Wetlands (inland), Shrubland, Forest, Grassland","Wetlands (inland), Shrubland, Forest, Grassland",350773357.76497865,2.396159902126035
22234363,2998,brachyuromys ramirohitra,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Brachyuromys,ramirohitra,NA,NA,NA,"Major, 1896",Least Concern,NA,3.1,Unknown,Global,NA,brachyuromys ramirohitra,1327,Nesomyidae,10,0,0,0,0,0,30,0,50,10,Ref_1,ABC,Ar,A,NA,1,1,1,Ref_1,ABC,90,Ref_117,1,0,30,60,90,10,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.182043793053603,152.07008652679664,0.09,0.00486,0.3903967212977076,0.06575915243027021,3.2879576215135105,Forest,Forest,348109137.1420209,2.392796738862648
22236108,165925,voalavo antsahabensis,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Voalavo,antsahabensis,NA,NA,NA,"Goodman, Rakotondravony, Randriamanantsoa &amp; Rakotomalala-Razanahoera, 2005",Endangered,B1ab(iii),3.1,Unknown,Global,NA,voalavo antsahabensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.664079616,-0.218962906,0,0,NA,NA,NA,NA,NA,NA,NA,Forest,Forest,NA,NA
22236959,12647,macrotarsomys bastardi,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Macrotarsomys,bastardi,NA,NA,NA,"Milne-Edwards &amp; G. Grandidier, 1898",Least Concern,NA,3.1,Stable,Global,NA,macrotarsomys bastardi,1322,Nesomyidae,0,0,0,0,0,0,40,0,20,40,Ref_1,ABC,G,A,NA,1,0,0,Ref_1,ABC,25,Ref_117,1,0,40,60,100,0,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.3654294788587458,231.9687481978352,0.025,0.00135,0.20575713839378695,0.04310925535310244,2.155462767655122,"Forest, Shrubland","Forest, Shrubland",163300155.81671488,2.1841630694634393
22237052,2991,brachytarsomys albicauda,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Brachytarsomys,albicauda,NA,NA,NA,"Günther, 1875",Least Concern,NA,3.1,Unknown,Global,NA,brachytarsomys albicauda,1324,Nesomyidae,0,0,0,0,0,0,100,0,0,0,Ref_1,ABC,G,A,NA,1,0,0,Ref_3,D2,200,Ref_117,1,0,100,0,100,0,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.0677249451206268,116.87589379771462,0.2,0.0108,0.5819690713431427,0.08556084300247327,4.278042150123663,Forest,Forest,401641656.6140276,2.478548727572709
22237177,136399,brachytarsomys villosa,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Brachytarsomys,villosa,NA,NA,NA,"Petter, 1962",Vulnerable,"B1ab(iii,v)",3.1,Unknown,Global,NA,brachytarsomys villosa,1325,Nesomyidae,0,0,0,0,0,0,100,0,0,0,Ref_1,ABC,Ar,A,NA,1,0,0,Ref_3,D2,220,Ref_117,1,0,100,0,100,0,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.054079804312186,113.2608467965058,0.22,0.01188,0.6103743113860542,0.0882917643902739,4.414588219513695,Forest,Forest,402507427.23397315,2.486569247713121
22237297,9581,gymnuromys roberti,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Gymnuromys,roberti,NA,NA,NA,"Major, 1896",Least Concern,NA,3.1,Unknown,Global,NA,gymnuromys roberti,1320,Nesomyidae,20,0,0,0,0,0,30,0,40,10,Ref_3,D2,G,A,NA,1,0,0,Ref_1,ABC,97.5,Ref_117,1,0,30,50,80,20,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.1705844293304772,148.11001616212891,0.0975,0.005265,0.4063377905142469,0.06751737835916162,3.3758689179580808,Forest,Forest,355653936.4959332,2.4025121469596784
22237564,136475,nesomys audeberti,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Nesomys,audeberti,NA,NA,NA,"Jentink, 1879",Least Concern,NA,3.1,Decreasing,Global,NA,nesomys audeberti,1308,Nesomyidae,0,0,0,0,0,0,50,0,50,0,Ref_2,D1,G,A,NA,0,1,1,Ref_1,ABC,212.5,Ref_117,1,0,50,50,100,0,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.059045583662679,114.56331810942693,0.2125,0.011474999999999999,0.5998799879975993,0.08728797458928647,4.364398729464323,Forest,Forest,402391714.9634516,2.483717947237934
22237658,14671,nesomys rufus,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Nesomys,rufus,NA,NA,NA,"Peters, 1870",Least Concern,NA,3.1,Unknown,Global,NA,nesomys rufus,1307,Nesomyidae,0,0,0,0,0,0,50,0,50,0,Ref_1,ABC,G,A,NA,0,1,1,Ref_1,ABC,162.5,Ref_117,1,0,50,50,100,0,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.0974517631330487,125.15602551513318,0.1625,0.008775,0.5245798318654654,0.07990026815601343,3.9950134078006716,Forest,Forest,392809186.56979173,2.4587263774365766
22238349,7621,eliurus minor,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Eliurus,minor,NA,NA,NA,"Major, 1896",Least Concern,NA,3.1,Unknown,Global,NA,eliurus minor,1314,Nesomyidae,0,0,0,0,0,0,40,0,60,0,Ref_1,ABC,S,A,NA,1,0,0,Ref_1,ABC,37.5,Ref_117,1,0,40,60,100,0,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.3073808160149203,202.94614957404113,0.0375,0.002025,0.252,0.04927415484841059,2.46370774242053,Forest,Forest,223473836.82684734,2.2597483654554615
22238442,7622,eliurus majori,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Eliurus,majori,NA,NA,NA,"Thomas, 1895",Least Concern,NA,3.1,Unknown,Global,NA,eliurus majori,1316,Nesomyidae,0,0,0,0,0,0,40,0,60,0,Ref_40,ABC,S,A,NA,1,0,0,Ref_1,ABC,100,Ref_117,1,0,40,60,100,0,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.1669597897,146.87902795263258,0.1,0.0054,0.4115142767875739,0.0680832392438281,3.4041619621914054,Forest,Forest,357895545.0535168,2.4055182755122466
22238512,29460,eliurus grandidieri,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Eliurus,grandidieri,NA,NA,NA,"Carleton &amp; Goodman, 1998",Least Concern,NA,3.1,Unknown,Global,NA,eliurus grandidieri,1318,Nesomyidae,0,0,0,0,0,0,40,0,60,0,Ref_2,D1,S,A,NA,1,0,0,Ref_2,D1,77.7,"Ref_2, Ref_3",0,0,40,60,100,0,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.203082612425597,159.61827476576298,0.0777,0.0041958,0.3627399729834031,0.06264946801783709,3.1324734008918544,Forest,Forest,332225641.6917924,2.3740209815755895
22238593,48267436,eliurus antsingy,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Eliurus,antsingy,NA,NA,NA,"Carleton, Goodman &amp; Rakotondravony, 2001",Data Deficient,NA,3.1,Unknown,Global,NA,eliurus antsingy,1310,Nesomyidae,0,0,0,0,0,0,40,0,60,0,Ref_2,D1,G,A,NA,1,0,0,Ref_2,D1,77.7,"Ref_2, Ref_3",0,0,40,60,100,0,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.203082612425597,159.61827476576298,0.0777,0.0041958,0.3627399729834031,0.06264946801783709,3.1324734008918544,Forest,Forest,332225641.6917924,2.3740209815755895
22238673,7623,eliurus myoxinus,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Eliurus,myoxinus,NA,NA,NA,"Milne-Edwards, 1855",Least Concern,NA,3.1,Unknown,Global,NA,eliurus myoxinus,1313,Nesomyidae,0,0,0,0,0,0,40,0,60,0,Ref_1,ABC,S,A,NA,1,0,0,Ref_1,ABC,70,Ref_117,1,0,40,60,100,0,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.2180233785304755,165.20507274702595,0.07,0.0037800000000000004,0.3442975457362425,0.06053082894925829,3.0265414474629146,Forest,Forest,319179814.3635115,2.3598436869600996
22238746,7624,eliurus penicillatus,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Eliurus,penicillatus,NA,NA,NA,"Thomas, 1908",Endangered,"B1ab(i,ii,iii)",3.1,Unknown,Global,NA,eliurus penicillatus,1312,Nesomyidae,0,0,0,0,0,0,40,0,60,0,Ref_1,ABC,S,A,NA,1,0,0,Ref_1,ABC,100,Ref_117,1,0,40,60,100,0,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.1669597897,146.87902795263258,0.1,0.0054,0.4115142767875739,0.0680832392438281,3.4041619621914054,Forest,Forest,357895545.0535168,2.4055182755122466
22238985,136316,eliurus petteri,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Eliurus,petteri,NA,NA,NA,"Carleton, 1994",Endangered,"B1ab(i,ii,iii)",3.1,Unknown,Global,NA,eliurus petteri,1311,Nesomyidae,0,0,0,0,0,0,40,0,60,0,Ref_2,D1,G,A,NA,1,0,0,Ref_2,D1,75,Ref_117,1,0,40,60,100,0,herbivore,0.664079616,-0.218962906,0,-0.1003301887,2.208145971435547,161.4901252745226,0.075,0.00405,0.3563818177180199,0.06192329086995665,3.0961645434978324,Forest,Forest,327975024.96149033,2.3693002539060806
