Species,Mass,r
Antilocapra americana,42599.05843322047,0.3717833933409631
Bison bison,590201.0801718442,0.2241248371405515
Bos taurus,526865.7896973712,0.3386023648735869
Bubalus bubalis,576633.6732947882,0.2639915263286679
Capra hircus,49602.092739597465,0.32891977688361784
Capra ibex,61560.196864489575,0.20959937678182078
Connochaetes taurinus,180426.3651664127,0.16931287606166923
Damaliscus lunatus,118658.81311724224,0.2336092241115326
Hemitragus jemlahicus,35595.9018006083,0.22402164760085086
Kobus ellipsiprymnus,143152.8504215074,0.21967973044197706
Oryx leucoryx,147808.70091029967,0.20159974896873908
Ovibos moschatus,227143.3360656507,0.17599080872393993
Ovis aries,34641.76410352489,0.2759878650902005
Ovis canadensis,67889.09197955854,0.23664099732412366
Rupicapra pyrenaica,23999.378768098813,0.1967840919031083
Syncerus caffer,476540.7017251334,0.23200106952432553
Taurotragus oryx,277651.4846105511,0.18398820693489612
Tragelaphus strepsiceros,204456.0659295861,0.308027851742892
Camelus dromedarius,414095.0127434675,0.11199277012546743
Capreolus capreolus,21042.629084282886,0.26582142816886056
Cervus elaphus,112901.57487941928,0.19801130544594503
Mazama americana,24501.91336880783,0.32002948083689997
Mazama gouazoupira,16998.085132034983,0.3920035382345886
Odocoileus hemionus,52808.034077772354,0.17839800236251968
Odocoileus virginianus,56806.75741067729,0.47357632931687016
Rangifer tarandus,113005.60897485352,0.2645391702390761
Giraffa camelopardalis,800018.4448550994,0.11199277012546743
Sus scrofa,93497.50030885996,0.6335632631930226
Pecari tajacu,19032.682375763485,0.9999769444626964
Tayassu pecari,31038.448191595402,0.6720320522110151
Alopex lagopus,4238.381057743502,1.143905075585099
Canis lupus,37025.42054001352,0.27014067891362603
Vulpes velox,2073.003331289366,0.6400147558840792
Vulpes vulpes,5377.742459634421,1.0173959090304545
Vulpes zerda,1152.3913771994867,0.8079602352962558
Leopardus pardalis,9887.80743626928,0.3680357331147825
Panthera onca,65508.853693861034,0.18398820693489612
Puma concolor,40429.651707596546,0.2399882544952634
Eira barbara,3426.888704327863,0.22402164760085086
Gulo gulo,16069.412530128788,0.3680357331147825
Meles meles,11282.361216489913,0.3599896270977205
Mustela erminea,127.58511223468814,3.328051107820967
Mustela nivalis,38.62780230114958,5.983977983594668
Mustela putorius,747.825035045565,1.0080683672705903
Mustela vison,746.2769020181443,0.9360304715384379
Nasua nasua,4166.774522219098,0.18398820693489612
Potos flavus,2587.021273464604,0.2399882544952634
Procyon lotor,5734.558665459647,0.5279465874108515
Ursus arctos,191381.52020474288,0.2399882544952634
Antechinus bellus,34.00165058040711,1.4719395918373372
Antechinus leo,54.000775906659264,1.432154879412006
Antechinus minimus,41.995233466406575,1.264124903197748
Antechinus stuartii,22.346010577312224,1.3598468105627974
Antechinus swainsonii,52.37210139231933,1.3759098729905928
Dasycercus byrnei,99.97697679981566,1.7119457059647545
Dasycercus cristicauda,92.98223905853808,1.2240241513147745
Dasykaluta rosamondae,29.998531811907934,1.3118675421012294
Dasyurus geoffroii,1086.6758111644242,1.1040531647762657
Dasyurus hallucatus,477.9692969796098,1.264124903197748
Dasyurus maculatus,1229.7023415411415,1.0876520606501787
Dasyurus viverrinus,912.0108393559096,1.1040531647762657
Ningaui ridei,8.499629594496197,1.2959551951229036
Parantechinus bilarni,24.997697021785076,1.056063388953805
Phascogale calura,43.00312336305443,1.3439712763878506
Phascogale tapoatafa,154.81035267089337,1.2959551951229036
Planigale gilesi,7.937797216901171,1.608014597690955
Planigale maculata,10.273064148386768,2.8241644830132837
Planigale tenuirostris,6.134794223881294,1.6161809633270101
Pseudantechinus macdonnellensis,35.95837026057048,1.1199277012546742
Pseudantechinus ningbing,17.498466886246575,0.8719467976216537
Sarcophilus laniarius,6020.048636844589,0.5196249395510096
Sminthopsis crassicaudata,15.477471037349186,3.639904481200389
Sminthopsis dolichura,12.399380859509426,1.6240148158877472
Sminthopsis laniger,22.698648518838223,1.6240148158877472
Sminthopsis leucopus,19.00203002577232,1.3598468105627974
Sminthopsis macroura,20.314212914187355,4.728136292881951
Sminthopsis murina,14.804713248976256,1.3759098729905928
Sminthopsis ooldea,11.000185275062211,1.4480714362166052
Sminthopsis virginiae,34.00165058040711,2.1197760791031715
Caluromys philander,186.9820857736648,1.9359315026713735
Didelphis albiventris,825.0874854788077,2.12808998059355
Didelphis marsupialis,1379.7487205074976,3.056257815075287
Didelphis virginiana,2432.204009073816,3.0916476126514083
Marmosa robinsoni,85.56575760980931,5.399953088975593
Philander opossum,581.2995677253883,4.623703609563729
Acrobates pygmaeus,12.96283520705068,1.4560959267680826
Burramys parvus,43.13204006994164,0.8479885476073341
Cercartetus caudatus,29.998531811907934,0.9119898124559817
Cercartetus nanus,39.436648538098,2.9362294278487746
Dendrolagus matschiei,8002.026771193327,0.22402164760085086
Dorcopsis luctuosa,3570.2612803901543,0.4800538830912932
Lagorchestes conspicillatus,2824.8799749157074,0.6240077549732003
Lagorchestes hirsutus,1310.0865862570288,0.7839529288764754
Lagostrophus fasciatus,1800.1139604180112,0.23200106952432553
Macropus agilis,11000.185275062217,0.4800538830912932
Macropus dorsalis,6499.80009683025,0.46397009265571393
Macropus eugenii,5135.704178483554,0.3520383582687871
Macropus fuliginosus,23664.645333525652,0.40067291623985846
Macropus giganteus,24957.43794831569,0.3509861561060237
Macropus parma,3549.7682446720896,0.45602640177516857
Macropus parryi,11000.185275062217,0.33596186773125264
Macropus robustus,21503.046793402544,0.34362914141190987
Macropus rufogriseus,13800.664559703318,0.3839635399455556
Macropus rufus,30164.768731622175,0.3365038109204499
Onychogalea fraenata,3400.1650580407095,1.0719881559198379
Petrogale assimilis,4300.312336305446,0.4320062072532742
Petrogale concinna,1349.89503505598,0.5199840077464202
Petrogale penicillata,6299.411805485587,0.4159967972268128
Petrogale xanthopus,7000.031591308969,0.4320062072532742
Setonix brachyurus,2799.6258831058417,0.3120254275800526
Thylogale billardierii,3900.317844750656,0.487966476697791
Thylogale thetis,3800.143529415859,0.46397009265571393
Wallabia bicolor,12998.70237388604,0.3920035382345886
Gymnobelideus leadbeateri,148.59356422870076,0.7599586927010772
Petaurus australis,527.9587597837325,0.21601802295105915
Petaurus breviceps,121.95510936596833,0.9440391104551733
Trichosurus caninus,2900.01336905407,0.2480218753598553
Trichosurus vulpecula,2243.881923782766,0.35284989049714954
Wyulda squamicaudata,1674.9428760264382,0.19199503014479039
Phascolarctos cinereus,4679.505908852532,0.17815170658827229
Aepyprymnus rufescens,2655.2168778726614,0.9440391104551733
Bettongia gaimardi,1516.351900787289,0.8719467976216537
Bettongia lesueur,1299.8702373886042,1.2879232609725646
Bettongia penicillata,1127.7166693314718,1.1022750746811627
Hypsiprymnodon moschatus,510.97540905467594,0.5680544770036264
Potorous longipes,1650.061001320227,0.4240235590686367
Potorous tridactylus,1032.7614057613969,0.7120163837004208
Petauroides volans,1392.1947766296757,0.2399882544952634
Pseudocheirus peregrinus,879.4274148836827,0.6319605770686532
Tarsipes rostratus,9.48636869866469,2.3998825449526344
Lasiorhinus latifrons,26668.586645214808,0.2800206033267471
Vombatus ursinus,26001.595631652723,0.14400911683344086
Sorex araneus,8.072350302488383,5.158102725151368
Lepus americanus,1540.9906371070776,1.4001997216846298
Lepus arcticus,3237.42711634235,1.1040531647762657
