TG,Common Name,Class,Order,Family,Genus,Species,q,r,Vr,CVN,MA-Yr,RW-Yr,EX-Yr,RL-Yr,GL-Yr,TL-Yr,MA-G,RW-G,EX-G,RL-G,GL-G,TL-G,TI,BS,RA,HI,EF,DE,Mass,Len,Wing,RepT,MinAge,Lifesp,GenF,Gen,RepG,DispA,DirL,IndL,Sev,RanD,N,Dist,Den,Fert,NTr,TrL,Spec,Hum,Status,LegProt
Ram,Common toad,Amphibia,Anura,Bufonidae,Bufo,bufo,8,0.081,0.117,0.198,6.03,9.59,5.38,4.8,4.89,4.55,7.23,13.76,7.02,4.98,5.03,4.72,0,4.787,0,0.4,0.524,0.667,60,120,,2,36,180,,,1,3,1,1,2,1,1,1,,2500,2,5,1,2,LC,1
Ram,Yosemite toad,Amphibia,Anura,Bufonidae,Bufo,canorus,11,-0.063,0.359,0.567,13.67,13.76,18.7,6.91,6.68,6.25,7.72,21.62,20.72,7.93,7.58,6.84,1,4.174,0.25,0.8,0.643,0.833,20,65,,2,40,180,,,1,4,1,1,3,2,2,2,,2000,3,5,1,2,EN,2
Ram,Southern toad,Amphibia,Anura,Bufonidae,Bufo,terrestris,15,-0.087,3.43,1.101,9.15,20.72,20.72,10.3,8.92,8.59,10.57,20.72,20.72,12.17,10.22,9.98,0,4.382,0.25,0.4,0.5,0.667,60,80,,2,24,120,,,1,4,1,1,2,1,1,2,,2500,2,4,1,2,LC,1
Ram,Spring peeper,Amphibia,Anura,Hylidae,Pseudacris,crucifer,15,0,2.525,1.13,7.62,20.72,20.72,4.49,8.05,7.99,8.18,20.72,20.72,4.5,8.7,8.53,0,3.555,0.25,0.4,0.619,0.5,5,35,,2,12,48,,,1,5,1,1,2,1,1,2,,800,2,4,1,2,LC,1
Ram,Southern chorus frog,Amphibia,Anura,Hylidae,Pseudacris,nigrita,15,-0.221,0.407,1.069,13.48,14.68,20.72,4.49,14.81,14.83,13,14.2,20.72,4.5,13.93,14.82,0,3.219,0.25,0.4,0.5,0.5,5,25,,2,12,36,,,1,4,1,1,2,1,1,2,,200,2,4,1,2,LC,1
Ram,Ornate chorus frog,Amphibia,Anura,Hylidae,Pseudacris,ornata,15,-0.107,2.053,1.088,10.2,20.72,20.72,19.39,9.03,8.74,9.42,20.72,20.72,4.5,10.12,9.4,0,3.401,0.5,0.4,0.643,0.667,2,30,,2,12,72,,,1,4,1,1,2,1,1,3,,200,2,5,1,2,LC,1
Ram,Pacific chorus frog,Amphibia,Anura,Hylidae,Pseudacris,regilla,14,0.348,5.739,0.531,13.55,20.72,20.72,18.97,8.29,19.8,13.65,20.72,20.72,19.48,8.82,21.77,1,3.912,0.25,0.4,0.5,0.333,15,50,,2,10,36,,,1,4,1,1,2,1,1,2,,200,3,4,1,2,LC,1
Ram,Archey's frog,Amphibia,Anura,Leiopelmatidae,Leiopelma,archeyi,10,0.005,0.64,0.544,14.46,16.64,16.22,7.27,6.35,6.08,8.34,20.72,20.72,9.88,7.01,6.68,1,3.555,0.5,0.8,1,0.833,5,35,,2,40,120,,,1,4,1,1,3,2,3,3,,2500,3,5,2,2,CD,2
Ram,Eastern narrowmouth toad,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,15,-0.112,1.044,1.472,7.43,20.72,20.72,11.54,6.75,6.78,8.5,20.72,20.72,14.82,7.46,7.37,0,3.689,0.25,0.4,0.5,0.5,10,40,,2,24,60,,,1,4,1,1,2,1,1,2,,850,2,4,1,2,LC,1
Ram,Eastern spadefoot,Amphibia,Anura,Pelobatidae,Scaphiopus,holbrooki,13,-0.13,1.696,1.106,9.59,20.72,20.72,11.71,8.23,7.3,12.61,20.72,20.72,17.77,9.16,7.95,0,4.094,0.25,0.4,0.643,0.667,15,60,,2,18,120,,,1,4,1,1,2,1,1,2,,2000,2,5,1,2,LC,1
Ram,Green Frog,Amphibia,Anura,Ranidae,Rana,clamitans,13,-0.282,2.301,1.096,13.21,20.72,20.72,17.78,11.24,9.05,10.72,20.72,20.72,4.48,13.87,10.33,0,4.382,0.25,0.4,0.643,0.667,20,80,,2,24,96,,,2,4,1,1,2,1,1,2,,4000,2,5,1,2,LC,1
Ram,Jumping frog,Amphibia,Anura,Ranidae,Rana,dalmatina,11,0.031,0.155,0.531,9.53,10.33,8.09,5.98,5.64,5.62,11.8,12.73,10.73,6.7,6.01,5.95,0,4.5,0.25,0.6,0.762,0.667,25,90,,2,24,120,,,2,5,1,1,3,1,1,2,,1200,2,5,1,2,LC,1
Ram,"Common frog, European Frog or Grass frog",Amphibia,Anura,Ranidae,Rana,temporaria,27,-0.008,0.083,0.291,5.36,8.65,9.27,5,4.76,4.87,5.74,10.48,11.09,5.21,4.91,4.99,0,4.605,0.25,0.4,0.643,0.667,22,100,,2,24,120,,,1,4,1,1,2,1,1,2,,2500,2,5,1,2,LC,1
Ram,Southern leopard frog,Amphibia,Anura,Ranidae,Rana,utricularia,15,-0.254,1.237,0.986,9.67,20.72,20.72,4.24,11.86,10.6,11.69,20.72,20.72,4.48,14.66,12.55,0,4.443,0.25,0.4,0.643,0.667,20,85,,2,24,96,,,1,4,1,1,2,1,1,2,,4000,2,5,1,2,LC,1
Ram,Eastern tiger salamander,Amphibia,Caudata,Ambystomatida,Ambystoma,tigrinum,13,-0.363,1.507,0.979,9.1,20.72,20.72,4.45,11.2,9.93,10.68,20.72,20.72,4.53,13.5,11.27,0,5.247,0.25,0.2,0.643,0.667,30,190,,2,18,120,,,5,4,1,1,1,1,1,2,,500,2,5,1,2,LC,1
Ram,Marbled salamander,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,13,0.337,2.451,0.886,9.62,20.72,11.2,9.53,9.26,8.44,11.59,20.72,18.21,10.36,10.45,9.26,0,4.7,0.25,0.4,0.643,0.833,10,110,,2,15,210,,,5,4,1,1,2,1,1,2,,100,2,5,1,2,LC,1
Ram,Mole salamander,Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,15,0,2.45,0.969,7.06,20.72,20.72,8.73,6.91,7.19,7.59,20.72,20.72,9.72,7.4,7.7,0,4.7,0.25,0.4,0.643,0.667,5,110,,2,15,120,,,5,4,1,1,2,1,1,2,,200,2,5,1,2,LC,1
Ram,Seepage salamander,Amphibia,Caudata,Plethodontidae,Desmognathus,aeneus,14,0.016,0.275,0.526,8.85,12.31,11.11,5.84,5.92,5.44,8.51,20.72,18.86,6.48,6.67,5.93,0,3.689,0.25,0.2,0.643,1,3.5,40,,2,54,180,,,5,4,1,1,1,1,1,2,,14,2,5,1,2,LC,1
Ram,Seal salamander,Amphibia,Caudata,Plethodontidae,Desmognathus,monticola,14,0.008,0.17,0.283,4.84,10.57,9.95,4.91,4.72,4.76,5.17,18.9,17.47,5.19,4.94,5,0,4.605,0.5,0.4,0.643,1,10,100,,2,60,120,,,5,4,1,1,2,1,1,3,,15,2,5,1,2,LC,1
Ram,Mountain dusky salamander,Amphibia,Caudata,Plethodontidae,Desmognathus,ochrophaeus,14,0.036,0.217,0.314,6.58,11.36,8.8,5.25,5.18,5.08,8.87,20.02,14.29,5.74,5.6,5.35,0,3.401,0.25,0.4,0.643,1,2,30,,2,54,120,,,5,4,1,1,2,1,1,2,,30,2,5,1,2,LC,1
Ram,Blackbelly salamander,Amphibia,Caudata,Plethodontidae,Desmognathus,quadramaculatus,14,-0.04,0.448,0.438,7.7,14.46,17.85,5.94,6.25,20.72,7.48,20.72,20.72,7.72,7.06,20.72,0,5.347,0.5,0.4,0.643,1,80,210,,2,60,180,,,5,4,1,1,2,1,1,3,,60,2,5,1,2,LC,1
Ram,Dwarf salamander,Amphibia,Caudata,Plethodontidae,Eurycea,quadridigitata,15,-0.154,1.697,2.639,16.42,20.72,20.72,17.88,10.87,20.72,6.26,20.72,20.72,4.36,13.46,20.72,0,4.248,0.5,0.4,0.643,0.833,2,70,,2,24,96,,,5,4,1,1,2,1,1,3,,60,2,5,1,2,LC,1
Ram,Redback salamander,Amphibia,Caudata,Plethodontidae,Plethodon,cinereus,10,-0.001,0.14,0.231,5.06,10.05,10,4.76,4.56,4.81,5.38,12.35,12.41,4.93,4.74,5.02,0,4.7,0.25,0.4,0.643,0.833,5,110,,2,24,180,,,5,4,1,1,2,1,1,2,,15,2,5,1,2,LC,1
