mass_1,mass_2,mass_3,mass_4,mass_5,mass_6,mass_7,mass_8,mass_9,mass_10,mass_11,mass_12,mass_13,mass_14,mass_15,mass_16,mass_17,mass_18,mass_19,mass_20,mass_21,mass_22,mass_23,mass_24,mass_25,mass_26,mass_27,mass_28,mass_29,mass_30,mass_31
0.0072,0.0084,0.0062,0.0112,0.0106,0.01,0.0068,0.0108,0.0104,0.0102,0.009,0.0092,0.0128,0.0092,0.0092,0.0106,0.0088,0.0098,0.0104,0.011,0.0092,0.0108,0.0142,0.0098,0.011,0.014,0.011,0.0102,0.0116,0.011,0.0144
0.016,0.0176,0.0192,0.0206,0.0232,0.026,0.0214,0.0186,0.019,0.0242,0.0196,0.0188,0.0238,0.0268,0.0214,0.0264,0.0222,0.024,0.0246,0.025,0.0254,0.0244,0.0252,0.0254,0.0256,0.0256,0.0292,0.027,0.0274,0.0276,0.0272
0.0288,0.0278,0.0302,0.0256,0.0306,0.0288,0.0342,0.0278,0.0302,0.031,0.0318,0.029,0.0346,0.0328,0.0354,0.037,0.0316,0.0354,0.0354,0.0376,0.031,0.0356,0.0356,0.0318,0.0404,0.04,0.0392,0.0336,0.0306,0.04,0.0376
0.0432,0.0424,0.0404,0.04,0.0416,0.0364,0.0442,0.0384,0.0392,0.042,0.044,0.0442,0.0462,0.0472,0.0472,0.0494,0.0476,0.0422,0.045,0.0452,0.0456,0.0396,0.0448,0.0486,0.046,0.0478,0.048,0.0512,0.0422,0.0482,0.0506
0.0508,0.05,0.0522,0.0498,0.051,0.0574,0.0522,0.0518,0.056,0.0574,0.0514,0.049,0.054,0.0506,0.0546,0.0548,0.0588,0.0492,0.0542,0.06,0.0536,0.0598,0.0612,0.0532,0.0536,0.0598,0.0648,0.0572,0.0582,0.0562,0.0582
0.056,0.0676,0.059,0.059,0.0622,0.063,0.0634,0.0614,0.0592,0.0598,0.062,0.0664,0.0678,0.0616,0.0674,0.0702,0.0692,0.0652,0.0628,0.068,0.0676,0.0656,0.0644,0.0716,0.073,0.0706,0.0654,0.0722,0.068,0.0672,0.0644
0.065,0.0596,0.071,0.0732,0.069,0.0802,0.0746,0.0754,0.0654,0.0768,0.0688,0.0766,0.08,0.0782,0.0736,0.0704,0.078,0.0708,0.0782,0.0746,0.0752,0.0712,0.0776,0.0774,0.0796,0.0712,0.0824,0.077,0.0746,0.0722,0.0806
0.0774,0.084,0.0756,0.0798,0.0834,0.0788,0.082,0.0824,0.0798,0.0888,0.0856,0.083,0.0892,0.0864,0.0824,0.0834,0.0814,0.0814,0.0888,0.0874,0.087,0.0812,0.092,0.0878,0.0792,0.0856,0.0936,0.0896,0.0826,0.0932,0.0852
0.0916,0.0894,0.0854,0.0972,0.0922,0.1018,0.09,0.0952,0.0792,0.0938,0.088,0.083,0.0984,0.0948,0.092,0.0916,0.0902,0.095,0.0872,0.1048,0.092,0.083,0.0936,0.0952,0.0896,0.1038,0.1084,0.0986,0.091,0.1004,0.0974
0.0994,0.1044,0.1008,0.0982,0.0942,0.102,0.0962,0.1062,0.1014,0.1014,0.0986,0.1012,0.0992,0.106,0.1004,0.1024,0.107,0.0942,0.1042,0.1012,0.1086,0.1012,0.1108,0.0982,0.1028,0.105,0.1024,0.1168,0.1074,0.1048,0.1058
0.1164,0.1072,0.1136,0.1152,0.1026,0.1126,0.109,0.1062,0.1138,0.1074,0.1116,0.1086,0.1202,0.11,0.1064,0.111,0.1174,0.107,0.1086,0.1086,0.1114,0.118,0.122,0.1142,0.123,0.117,0.115,0.1084,0.1072,0.112,0.116
0.1302,0.1076,0.1174,0.1186,0.1178,0.1174,0.1242,0.1222,0.1188,0.1292,0.1146,0.1168,0.1238,0.1202,0.1234,0.1208,0.1176,0.1224,0.1312,0.1238,0.1242,0.1198,0.1202,0.1228,0.1184,0.129,0.129,0.1294,0.1256,0.121,0.1262
0.1294,0.1284,0.1264,0.1344,0.1376,0.128,0.1248,0.127,0.1368,0.1314,0.1312,0.1338,0.1278,0.1392,0.1354,0.1288,0.1384,0.137,0.13,0.1318,0.128,0.1268,0.126,0.13,0.127,0.1336,0.13,0.1342,0.132,0.1308,0.1324
0.1352,0.142,0.1358,0.144,0.1326,0.1392,0.1412,0.1404,0.138,0.1408,0.1398,0.1394,0.1408,0.1404,0.1356,0.141,0.144,0.1424,0.1324,0.1416,0.1338,0.144,0.1452,0.1434,0.1476,0.1492,0.1418,0.1396,0.1426,0.1452,0.1434
0.1504,0.144,0.1452,0.1488,0.1494,0.16,0.157,0.1406,0.1454,0.1558,0.1494,0.134,0.162,0.1546,0.1384,0.1486,0.1538,0.1436,0.1462,0.1496,0.1464,0.147,0.1564,0.146,0.1534,0.1522,0.1604,0.1476,0.1488,0.1452,0.1504
