mass_1,mass_2,mass_3,mass_4,mass_5,mass_6,mass_7,mass_8,mass_9,mass_10,mass_11,mass_12,mass_13,mass_14,mass_15,mass_16,mass_17,mass_18,mass_19,mass_20,mass_21,mass_22,mass_23,mass_24,mass_25,mass_26,mass_27,mass_28,mass_29,mass_30,mass_31
2962.9311743994112,2809.8252847267636,2687.300339823046,2582.7368927720254,2477.2882626668443,2371.5217581024817,2255.8155665690606,2201.0319342474295,2080.7525065976415,1997.4581399638867,1945.160092292771,1864.5077009211304,1793.173788512167,1740.1226138071986,1663.2330767379071,1613.9886348946961,1544.514637912301,1506.367677142332,1456.5685712844422,1406.0477110551396,1366.6158001223234,1322.4670258112906,1279.3250749420454,1251.9170709721375,1215.968118595666,1170.1012507542364,1148.8878359503858,1115.7385529433598,1082.2279929625788,1050.2226893629409,1027.6390004075824
3355.7646540062688,3177.1169690417655,3031.4589100501803,2907.606498907718,2783.054143772493,2659.6225705498127,2526.630547765938,2459.28212447738,2321.4220784091076,2225.564918413437,2161.2493143041465,2068.2950929547765,1985.4621338041968,1922.7810350963791,1835.460988120432,1777.3129642686888,1698.7392751043928,1653.6457234420284,1595.7978893068919,1537.975089686576,1491.7405516267258,1440.979514895319,1391.344899343641,1358.6966564290042,1317.426894309218,1265.8236701938965,1239.9773787698362,1202.20570119461,1163.9097509848884,1127.6775433602133,1100.9712592740702
3601.6474374015525,3406.938406426678,3246.56653332019,3110.4738603411697,2973.821023527518,2839.2842765482465,2695.54647619365,2620.1006771412144,2471.3359213389667,2367.660897645821,2295.6065867132247,2194.988400632494,2104.9541224707195,2036.1817667181456,1942.4413630206138,1878.6641737533848,1794.5105748571248,1745.0230282083155,1682.135206670069,1619.7875359675193,1569.270499161589,1514.3980463759844,1460.7246420114357,1424.7536772554004,1380.1795299171258,1325.073913754398,1296.2659431332695,1255.6396898839166,1214.3818521911087,1175.553279511787,1146.2439437035737
3796.443329788524,3588.9731654419206,3416.8283556230017,3270.9559608547856,3124.6460702779445,2981.287702806371,2829.0732531625335,2747.097734465526,2589.7429877033114,2479.8968814157415,2401.6052552015776,2294.9332692212683,2199.1921558761155,2125.563046922509,2026.7894929530971,1958.5253159868219,1870.008007483205,1817.0170153041186,1750.1354973608672,1684.2255271458487,1630.3039162286357,1572.1877981956093,1515.327176589714,1476.7031857251022,1429.524063902034,1371.6868582530205,1340.5026206306943,1297.6338789539,1254.0459736918633,1213.18464197831,1181.8022820731387
3964.158985009568,3745.677250271412,3563.3190407233415,3408.971729601125,3254.3005032049446,3103.331185011163,2943.8426637512102,2856.169354612449,2691.451241407131,2576.3068271612465,2492.5747536653316,2380.7023766897264,2280.0467094222095,2202.2156280298336,2099.1437631799845,2026.998411401759,1934.761527681411,1878.7394568975014,1808.418948832035,1739.4567305567236,1682.5961340195947,1621.696241470252,1562.0997304439961,1521.1780528300774,1471.7646120505415,1411.603915123956,1378.3542150523438,1333.5672558584254,1287.9840538315939,1245.3884537394242,1212.2142681642458
4114.935095629193,3886.535610120334,3694.9377273752634,3532.9304506414132,3370.70737053508,3212.884086618593,3046.8742837079794,2954.021989574293,2782.708506243856,2662.812062861049,2574.1366116668337,2457.59794774904,2352.523341525577,2270.8995267920554,2163.9897212723986,2088.3418556324114,1992.7890610508105,1934.0311543026219,1860.6186791404418,1788.9235740981867,1729.4151409452156,1666.0193518966896,1603.969460699364,1560.9721933306519,1509.5564788601973,1447.3280842227382,1412.2070725343347,1365.7049832478183,1318.336115876646,1274.1932564636772,1239.4030864497581
4254.1158609586855,4016.5465635564606,3816.373057561015,3647.2619296383427,3478.0396436687984,3313.8800861488144,3141.865052488536,3044.1866031825884,2866.8044538841805,2742.5303809510674,2649.2497297111495,2528.410754266213,2419.25646090717,2334.1194827030704,2223.687907877566,2144.7962421444945,2046.204951754189,1984.9129123443684,1908.6460310389577,1834.43709350153,1772.4799362377573,1706.7855886448945,1642.4759604315225,1597.5547978779161,1544.295913030789,1480.1757169236355,1443.3158029520846,1395.237966977758,1346.227254350565,1300.6655990602112,1264.379662718791
4384.904281687806,4138.7056495141915,3930.43445900008,3754.620099658608,3578.7970122834063,3408.675349647064,3231.0294093750204,3128.777649734952,2945.7091390822316,2817.328920894232,2719.685541817794,2594.8115421570333,2481.8230895326724,2393.3746609981563,2279.6513012332152,2197.702535540174,2096.2747518942206,2032.594119418942,1953.6447823303129,1877.0810480836922,1812.819062949225,1744.969289881216,1678.5403612747139,1631.8047077403555,1576.8180954075217,1510.9343023311772,1472.4307533900528,1422.878458531979,1372.330350373698,1325.4433824185578,1287.7485095288794
4509.391599695793,4254.9685548121315,4038.955780916846,3856.7370557261243,3674.6106673733557,3498.807294589845,3315.812340684493,3209.1745126951096,3020.7078044927384,2888.425794915791,2786.5993741038733,2657.8899481669746,2541.251666542753,2449.6425801086707,2332.80129820817,2247.935037274905,2143.8236863311936,2077.86326756381,1996.360585047712,1917.5619668948718,1851.102965512616,1781.2055475476297,1712.7630514200557,1664.294640735561,1607.66727396524,1540.117072339567,1500.0408203187358,1449.0905352867849,1397.0838226314986,1348.94225488108,1309.9034447975341
4629.030148209555,4366.693397025932,4143.210290708932,3954.815231088854,3766.612822843293,3585.342962684087,3397.216770134147,3286.3343236943815,3092.6923018016523,2956.66627924375,2850.7926839516504,2718.4018456424656,2598.255561244474,2503.6011832790405,2383.7769740879057,2296.1000606246944,2189.424100231155,2121.2671466412553,2037.3104758316022,1956.3697616772713,1887.7964718367618,1815.9346652364504,1745.5602584896656,1695.421566495475,1637.2206725428778,1568.079797496767,1526.4848137564443,1474.1958091503632,1420.7914966941894,1371.4502770940398,1331.1173467779943
