"","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","i31"
"1",0.0069,0.007,0.0102,0.0083,0.0104,0.0095,0.0101,0.0075,0.0088,0.0089,0.0088,0.009,0.0116,0.0085,0.0092,0.0083,0.0093,0.0123,0.0146,0.0126,0.0143,0.016,0.0138,0.0141,0.0152,0.0189,0.0188,0.0199,0.0152,0.0208,0.0218
"2",0.0166,0.0171,0.0203,0.0169,0.0174,0.0177,0.0155,0.0173,0.0162,0.0188,0.0155,0.0203,0.017,0.0203,0.0188,0.0198,0.0232,0.0246,0.0241,0.0236,0.023,0.0245,0.0263,0.0247,0.029,0.0269,0.0287,0.0281,0.0321,0.0325,0.0339
"3",0.0249,0.0274,0.0235,0.0244,0.0255,0.0261,0.0242,0.024,0.0221,0.0251,0.0257,0.0238,0.0298,0.0274,0.0257,0.0256,0.0272,0.0295,0.0335,0.032,0.0288,0.0337,0.0334,0.039,0.039,0.0356,0.0376,0.0388,0.035,0.0383,0.0421
"4",0.0291,0.0361,0.0352,0.0265,0.0279,0.0299,0.0279,0.0278,0.0345,0.0293,0.0308,0.0318,0.0284,0.0302,0.0309,0.0337,0.0365,0.0362,0.0379,0.0362,0.0417,0.0438,0.0377,0.0418,0.0458,0.0422,0.0441,0.0446,0.0465,0.0473,0.0469
"5",0.0376,0.0343,0.0357,0.0347,0.0348,0.0348,0.0346,0.0366,0.0386,0.0343,0.0351,0.0345,0.0362,0.0351,0.0375,0.0399,0.042,0.0407,0.0437,0.0442,0.0432,0.0489,0.0498,0.0454,0.0515,0.0477,0.0514,0.0478,0.0491,0.0521,0.0572
"6",0.0427,0.0392,0.0432,0.0417,0.0427,0.0393,0.0428,0.041,0.0422,0.0421,0.0412,0.0423,0.0439,0.0393,0.0433,0.0454,0.0449,0.049,0.0514,0.0484,0.0524,0.052,0.0524,0.0498,0.0568,0.0586,0.0581,0.0537,0.0544,0.0573,0.0584
"7",0.0476,0.0479,0.0492,0.048,0.0484,0.0456,0.0468,0.0446,0.0471,0.0469,0.0514,0.0497,0.0452,0.0508,0.0491,0.0482,0.0533,0.0533,0.0537,0.0532,0.0523,0.0559,0.0526,0.0594,0.0631,0.0647,0.0599,0.0643,0.0664,0.0661,0.0647
"8",0.055,0.0557,0.05,0.0533,0.0518,0.0508,0.0509,0.0494,0.0505,0.0499,0.0498,0.0556,0.057,0.0542,0.0561,0.0531,0.0562,0.0558,0.0665,0.0596,0.0629,0.0617,0.0599,0.0614,0.0693,0.0701,0.0687,0.0632,0.0679,0.0737,0.0682
"9",0.0627,0.0606,0.0567,0.0564,0.056,0.0553,0.0563,0.0568,0.0558,0.0558,0.0589,0.0607,0.0598,0.061,0.0589,0.0562,0.064,0.0625,0.0652,0.0634,0.0655,0.0704,0.0662,0.0713,0.0726,0.0711,0.0683,0.0722,0.0704,0.0722,0.0769
"10",0.0633,0.0643,0.0618,0.0631,0.0611,0.0666,0.0608,0.0608,0.0663,0.0629,0.0647,0.0662,0.0655,0.0624,0.065,0.0611,0.0689,0.0674,0.0711,0.0727,0.07,0.0709,0.0698,0.0684,0.0782,0.0812,0.0761,0.077,0.0744,0.08,0.0796
"11",0.0701,0.0688,0.0684,0.0687,0.064,0.0724,0.0606,0.066,0.0646,0.0646,0.0706,0.0665,0.0721,0.0644,0.0683,0.0668,0.0761,0.0769,0.0759,0.0769,0.078,0.081,0.0783,0.0755,0.0836,0.0876,0.0839,0.0773,0.0793,0.0851,0.084
"12",0.0725,0.0753,0.0755,0.0712,0.0692,0.0681,0.0708,0.0697,0.0716,0.0704,0.0711,0.0741,0.077,0.0701,0.0762,0.0731,0.0776,0.0777,0.0837,0.0805,0.0762,0.0823,0.0831,0.0872,0.0874,0.0902,0.0885,0.0861,0.0836,0.0855,0.0908
"13",0.0779,0.0753,0.073,0.0795,0.0742,0.0788,0.0734,0.0745,0.0774,0.0763,0.082,0.0775,0.0797,0.0806,0.0758,0.0721,0.0775,0.0846,0.0837,0.0811,0.0869,0.0871,0.0839,0.085,0.0922,0.0913,0.0923,0.0902,0.0913,0.0915,0.0916
"14",0.0828,0.0823,0.0811,0.081,0.0804,0.0783,0.0856,0.0793,0.0808,0.0753,0.0828,0.083,0.0852,0.0808,0.0834,0.0836,0.0829,0.088,0.0882,0.0856,0.0871,0.0929,0.0893,0.0901,0.0927,0.0949,0.0952,0.0943,0.0936,0.0995,0.0988
"15",0.0871,0.0867,0.0868,0.083,0.087,0.0795,0.0821,0.0852,0.0886,0.0838,0.0845,0.0889,0.092,0.0869,0.0861,0.0848,0.0889,0.0929,0.0909,0.0922,0.0952,0.0993,0.0972,0.094,0.0983,0.0973,0.0946,0.0964,0.096,0.1025,0.106
"16",0.0975,0.0911,0.0952,0.0887,0.0914,0.0932,0.0939,0.0947,0.0886,0.0885,0.0955,0.0935,0.0962,0.091,0.097,0.0902,0.0949,0.1001,0.1027,0.0974,0.0962,0.101,0.1003,0.1002,0.1053,0.1052,0.0988,0.1023,0.0977,0.1062,0.106
"17",0.0953,0.0968,0.0964,0.0939,0.0987,0.0969,0.092,0.0905,0.0979,0.0964,0.0998,0.0938,0.1043,0.0952,0.0955,0.1023,0.1,0.1024,0.1074,0.0971,0.0967,0.105,0.0998,0.1,0.1146,0.1163,0.1038,0.1098,0.108,0.1125,0.1107
