mass_1,mass_2,mass_3,mass_4,mass_5,mass_6,mass_7,mass_8,mass_9,mass_10,mass_11,mass_12,mass_13,mass_14,mass_15,mass_16,mass_17,mass_18,mass_19,mass_20,mass_21,mass_22,mass_23,mass_24,mass_25,mass_26,mass_27,mass_28,mass_29,mass_30,mass_31
7569.166169274249,6073.132081319124,4961.722716289033,4149.194291638903,3570.820529902107,3101.3918346130054,2737.5934910154483,2443.6545889716454,2195.8415139799627,2000.4320305692306,1837.307629089024,1696.0743787543527,1580.6890133450215,1470.9565534377928,1383.510893002695,1304.8098005319475,1234.678723880826,1180.573883878446,1124.0979578701317,1065.4492488768205,1019.9900889774956,979.8823324305201,935.4254931903715,900.4488866751155,869.2373812799051,838.5364009764864,812.5580865845324,777.9279960626154,757.9777782241699,729.7659802387016,708.2301661005368
8537.001020028445,6777.174475826754,5484.1138073829525,4550.476376148658,3886.1549961659853,3354.3805507989387,2946.3064235938346,2618.4723704227513,2344.6341606747756,2129.3990960500705,1949.7683510414406,1795.5817400244052,1669.6137957779556,1550.355746937073,1454.9498931233456,1369.8238940045812,1293.5634564012103,1234.233348134117,1173.29112051954,1110.3008329401669,1061.357655140079,1017.879090210421,970.1936931594253,932.3393335979217,898.8594541019804,865.6747304939049,837.5390428370962,801.008641395128,779.1639272601085,749.2907883979069,726.1448002741131
9118.436097962647,7197.119495628922,5793.74841006255,4787.164921002853,4071.213882398263,3502.2894564943595,3067.9904742439917,2720.156423913579,2431.0462617170897,2204.202987145103,2014.9124997290087,1853.1857822747465,1721.0584801487912,1596.273046692758,1496.2368798154466,1407.3956802538835,1327.577804384433,1265.2005848267943,1201.6803879467247,1136.1937468979263,1085.243217413366,1039.8124994313366,990.2729932868003,950.7538999355089,915.9713426287049,881.3511430763489,851.9667960469076,814.3684327699949,791.4191165703928,760.6078161942562,736.536288011903
9565.829039703192,7518.840987452657,6030.047362857979,4967.255055216875,4211.587378593178,3614.224084432842,3159.922223769228,2796.868494026719,2496.1751751245383,2260.5393869734417,2063.934595539505,1896.5169580011934,1759.7412077321087,1630.7919372890653,1527.2625597176475,1435.62858925959,1353.1305163512848,1288.4510247096246,1222.9950685851559,1155.6383627051391,1103.1822105410763,1056.282666679307,1005.3552600156162,964.5844542036408,928.8267801027148,893.1278550748254,862.8043421706491,824.4173460756447,800.6334999225129,769.1273199663124,744.3626067930998
9941.725701222049,7788.253639416136,6227.348249370263,5117.282783054841,4328.255564926516,3707.0928533017614,3236.096961174341,2860.3633119138017,2550.0438575213134,2307.1085146028927,2104.432888252766,1932.3032932519775,1791.6789530482663,1659.2871000459072,1552.8663901798343,1458.927112598792,1374.2128945324307,1307.6256630338048,1240.5731611367498,1171.6768494564187,1117.9799563059096,1069.867111338413,1017.7977171577753,975.9934870419515,939.4334762136573,902.8443262156986,871.7452427701737,832.7161319022255,808.24079822264,776.1675132219068,750.832212977961
10272.376766093888,8024.591362305901,6400.010853694458,5248.330543584044,4429.968406210006,3787.9402149002244,3302.3409473657484,2915.5311913030896,2596.8203403246307,2347.5270617943033,2139.5648114318547,1963.3401000492133,1819.3711506644559,1683.9909341302455,1575.0580931204245,1479.1203123390908,1392.4822045956098,1324.2359136200562,1255.8002964598218,1185.5721633558721,1130.8011387397416,1081.6358599348714,1028.5790701224028,985.8788134666967,948.6250832724794,911.2643377112988,879.4926652792792,839.9132203322835,814.8365559258978,782.2762725506947,756.4474712999425
10571.540424432256,8237.920804297231,6555.541474634955,5366.185825380667,4521.290697848459,3860.4383908816267,3361.6896471776663,2964.9187496254863,2638.67442206928,2383.6773208305,2170.9731922894216,1991.0816003218424,1844.117922730937,1706.0645715419353,1594.8828389394782,1497.159394737628,1408.8002295000274,1339.0675642415483,1269.3968651485197,1197.980964709594,1142.251343591754,1092.1452494873417,1038.2082258913108,994.7072644598514,956.8351076836016,918.7850587946305,886.4122465906642,846.3459406333908,820.7305479642077,787.7386974361771,761.4698384407307
10847.416984752119,8434.235324978177,6698.404678118816,5474.288201874801,4604.933152284052,3926.766716095793,3415.9436838028837,3010.0360476402893,2676.892393303455,2416.674911650328,2199.63150983275,2016.3894214341362,1866.6895099183782,1726.1958685726845,1612.9597211232515,1513.607789734394,1423.6773927508236,1352.585955309953,1281.789478568512,1209.29214712031,1152.6892265712663,1101.7247536780396,1046.9865930787307,1002.7553214766947,964.3203122584539,925.6417283168278,892.7205431632275,852.2141570834976,826.1062930280664,792.7237448192386,766.0542791744518
11105.32777567163,8617.420461802154,6831.492441316309,5574.8642310056675,4682.649309116474,3988.3342549667495,3466.2668167589118,3051.858735490171,2712.3051471524445,2447.2403543712007,2226.168367553235,2039.8198914811765,1887.5831896776265,1744.8288916914507,1629.6883777916678,1528.8292006772404,1437.4431604148215,1365.0914136468605,1293.2534675424326,1219.756711222885,1162.346277519991,1110.5870191984827,1055.1087178230664,1010.2014374803663,971.2464324367014,931.9861874876732,898.5573338156541,857.6469144061466,831.0822712858085,797.3405245803074,770.3008778650105
11348.94214663633,8790.153286082277,6956.795818438455,5669.445957283381,4755.645016915219,4046.1095331492998,3513.4586926342645,3091.057015749896,2745.4833410091937,2475.8684264050116,2251.0153551402195,2061.7549472750434,1907.1403318208052,1762.2684690664148,1645.343117589973,1543.0732691985097,1450.3236616457566,1376.790045223464,1303.9777836240683,1229.546918941829,1171.381371333489,1118.8779838399696,1062.708123432631,1017.1680882508978,977.7272215362618,937.9226526975559,904.0185539028024,862.7328047354041,835.739815577998,801.6639556145867,774.2783623935696
