assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
118448748,22684184,Coua verreauxi,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Coua,verreauxi,,,,"Grandidier, 1867",Least Concern,,3.1,Decreasing,Global
118899364,22698777,Neodrepanis hypoxantha,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PHILEPITTIDAE,Neodrepanis,hypoxantha,,,,"Salomonsen, 1933",Vulnerable,A3bc,3.1,Decreasing,Global
126620242,22715078,Randia pseudozosterops,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,BERNIERIDAE,Randia,pseudozosterops,,,,"Delacour & Berlioz, 1931",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
129881558,22692966,Mesitornis unicolor,ANIMALIA,CHORDATA,MESITORNITHIFORMES,AVES,MESITORNITHIDAE,Mesitornis,unicolor,,,,"(Des Murs, 1845)",Vulnerable,A2cde+3cde+4cde; C1+2a(i),3.1,Decreasing,Global
129882359,22692949,Mesitornis variegatus,ANIMALIA,CHORDATA,MESITORNITHIFORMES,AVES,MESITORNITHIDAE,Mesitornis,variegatus,,,,"Geoffroy Saint-Hilaire, 1838",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
129916593,22695613,Accipiter madagascariensis,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,madagascariensis,,,,"Smith, 1834",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
130089475,22684152,Coua coquereli,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Coua,coquereli,,,,"Grandidier, 1867",Least Concern,,3.1,Decreasing,Global
130089830,22684156,Coua serriana,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Coua,serriana,,,,"Pucheran, 1845",Least Concern,,3.1,Decreasing,Global
130093879,22684160,Coua reynaudii,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Coua,reynaudii,,,,"Pucheran, 1845",Least Concern,,3.1,Decreasing,Global
130094351,22684164,Coua cursor,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Coua,cursor,,,,"Grandidier, 1867",Least Concern,,3.1,Decreasing,Global
130094715,22684188,Coua caerulea,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Coua,caerulea,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Decreasing,Global
130111276,22686839,Apus balstoni,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,APODIDAE,Apus,balstoni,,,,"(Bartlett, 1880)",Least Concern,,3.1,Decreasing,Global
130164463,22689517,Asio madagascariensis,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,STRIGIDAE,Asio,madagascariensis,,,,"(Smith, 1834)",Least Concern,,3.1,Decreasing,Global
130195996,22698763,Philepitta castanea,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PHILEPITTIDAE,Philepitta,castanea,,,,"(Müller, 1776)",Least Concern,,3.1,Decreasing,Global
130196282,22698771,Neodrepanis coruscans,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PHILEPITTIDAE,Neodrepanis,coruscans,,,,"Sharpe, 1875",Least Concern,,3.1,Decreasing,Global
131092516,22708054,Oriolia bernieri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VANGIDAE,Oriolia,bernieri,,,,"Geoffroy Saint-Hilaire, 1838",Endangered,A3bc,3.1,Decreasing,Global
131736320,22708058,Euryceros prevostii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VANGIDAE,Euryceros,prevostii,,,,"Lesson, 1831",Endangered,A3bc,3.1,Decreasing,Global
131884843,22719132,Foudia madagascariensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PLOCEIDAE,Foudia,madagascariensis,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Stable,Global
131959856,22710825,Hartlaubius auratus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,STURNIDAE,Hartlaubius,auratus,,,,"(Müller, 1776)",Least Concern,,3.1,Decreasing,Global
131990768,22719144,Foudia omissa,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PLOCEIDAE,Foudia,omissa,,,,"Rothschild, 1912",Least Concern,,3.1,Decreasing,Global
