internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22698777,Neodrepanis hypoxantha,Neodrepanis hypoxanthus ssp. hypoxanthus — Collar <i>et al</i>. (1994),Neodrepanis,hypoxanthus,,subspecies,— Collar <i>et al</i>. (1994)
22692949,Mesitornis variegatus,"Mesitornis variegata ssp. variegata Geoffroy Saint-Hilaire, 1838 [orth. error] — Sibley and Monroe (1990, 1993)",Mesitornis,variegata,,subspecies,"Geoffroy Saint-Hilaire, 1838 [orth. error] — Sibley and Monroe (1990, 1993)"
22692949,Mesitornis variegatus,"Mesitornis variegata ssp. variegata Geoffroy Saint-Hilaire, 1838 [orth. error] — Collar and Andrew (1988)",Mesitornis,variegata,,subspecies,"Geoffroy Saint-Hilaire, 1838 [orth. error] — Collar and Andrew (1988)"
22692949,Mesitornis variegatus,"Mesitornis variegata ssp. variegata Geoffroy Saint-Hilaire, 1838 [orth. error] — BirdLife International (2000)",Mesitornis,variegata,,subspecies,"Geoffroy Saint-Hilaire, 1838 [orth. error] — BirdLife International (2000)"
22692949,Mesitornis variegatus,"Mesitornis variegata ssp. variegata Geoffroy Saint-Hilaire, 1838 [orth. error] — Collar <i>et al<i/>. (1994)",Mesitornis,variegata,,subspecies,"Geoffroy Saint-Hilaire, 1838 [orth. error] — Collar <i>et al<i/>. (1994)"
22710825,Hartlaubius auratus,"Saroglossa aurata (Müller, 1776)",Saroglossa,aurata,"(Müller, 1776)",,
22678927,Margaroperdix madagarensis,"Margaroperdix madagarensis madagarensis Sibley and Monroe (1990, 1993)",Margaroperdix madagarensis,madagarensis,"Sibley and Monroe (1990, 1993)",,
22678927,Margaroperdix madagarensis,Margaroperdix madagascariensis,Margaroperdix,madagascariensis,,,
22713021,Crossleyia tenebrosa,Phyllastrephus tenebrosus tenebrosus BirdLife International (2000),Phyllastrephus tenebrosus,tenebrosus,BirdLife International (2000),,
22713021,Crossleyia tenebrosa,Bernieria tenebrosus,Bernieria tenebrosus,,BirdLife International (2004),,
22713021,Crossleyia tenebrosa,Phyllastrephus tenebrosus tenebrosus Collar et al. (1994),Phyllastrephus tenebrosus,tenebrosus,Collar et al. (1994),,
22713021,Crossleyia tenebrosa,"Phyllastrephus tenebrosus tenebrosus Sibley and Monroe (1990, 1993)",Phyllastrephus tenebrosus,tenebrosus,"Sibley and Monroe (1990, 1993)",,
22713021,Crossleyia tenebrosa,Phyllastrephus tenebrosus tenebrosus Collar and Andrew (1988),Phyllastrephus tenebrosus,tenebrosus,Collar and Andrew (1988),,
