scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,redlistCategory,populationTrend,scientific_resolved,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,BodyMass.Value,Diet.VertFishScav,Diet.FruiNect,Diet.PlantSeed,Diet.AllPlants,Diet.AllAnimal,Diet,Effect_Order,Effect_Family,Effect_Species,effect_diet,log10_density,density,body_mass_kg,home_range_size,dispersal_dist,min_patch_size,min_patch_size500,level1_habitats,habitats_mixed,a_pred,b_pred
gymnuromys roberti,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Gymnuromys,roberti,Least Concern,Unknown,gymnuromys roberti,20,0,0,0,0,0,30,0,40,10,97.5,0,30,50,80,20,herbivore,0.664079616,-0.218962906,0,-0.100330189,2.170584429,148.1100162,0.0975,0.005265,0.406337791,0.067517378,3.375868918,Forest,Forest,343073540.9,2.39802401
nesomys rufus,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Nesomys,rufus,Least Concern,Unknown,nesomys rufus,0,0,0,0,0,0,50,0,50,0,162.5,0,50,50,100,0,herbivore,0.664079616,-0.218962906,0,-0.100330189,2.097451763,125.1560255,0.1625,0.008775,0.524579832,0.079900268,3.995013408,Forest,Forest,375891695.1,2.453146041
eliurus minor,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Eliurus,minor,Least Concern,Unknown,eliurus minor,0,0,0,0,0,0,40,0,60,0,37.5,0,40,60,100,0,herbivore,0.664079616,-0.218962906,0,-0.100330189,2.307380816,202.9461496,0.0375,0.002025,0.252,0.049274155,2.463707742,Forest,Forest,219808910.4,2.257788005
eliurus majori,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Eliurus,majori,Least Concern,Unknown,eliurus majori,0,0,0,0,0,0,40,0,60,0,100,0,40,60,100,0,herbivore,0.664079616,-0.218962906,0,-0.100330189,2.16695979,146.879028,0.1,0.0054,0.411514277,0.068083239,3.404161962,Forest,Forest,345034239.4,2.400951146
eliurus myoxinus,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Eliurus,myoxinus,Least Concern,Unknown,eliurus myoxinus,0,0,0,0,0,0,40,0,60,0,70,0,40,60,100,0,herbivore,0.664079616,-0.218962906,0,-0.100330189,2.218023379,165.2050727,0.07,0.00378,0.344297546,0.060530829,3.026541447,Forest,Forest,310203539.5,2.356356925
eliurus tanala,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Eliurus,tanala,Least Concern,Unknown,eliurus tanala,0,0,0,0,0,0,40,0,60,0,90,0,40,60,100,0,herbivore,0.664079616,-0.218962906,0,-0.100330189,2.182043793,152.0700865,0.09,0.00486,0.390396721,0.065759152,3.287957622,Forest,Forest,336426594.4,2.388561804
eliurus webbi,ANIMALIA,CHORDATA,rodentia,MAMMALIA,nesomyidae,Eliurus,webbi,Least Concern,Unknown,eliurus webbi,0,0,0,0,0,0,40,0,60,0,75,0,40,60,100,0,herbivore,0.664079616,-0.218962906,0,-0.100330189,2.208145971,161.4901253,0.075,0.00405,0.356381818,0.061923291,3.096164543,Forest,Forest,318295185,2.365624172
cryptoprocta ferox,ANIMALIA,CHORDATA,carnivora,MAMMALIA,eupleridae,Cryptoprocta,ferox,Vulnerable,Decreasing,cryptoprocta ferox,10,70,20,0,0,0,0,0,0,0,9500,90,0,0,0,100,carnivore,-1.697802701,-0.28421228,-0.097742264,0,-0.909542577,0.123156524,9.5,4.837391872,12.31668012,81.19748484,4059.874242,Forest,Forest,168338145.5,2.641256965
fossa fossana,ANIMALIA,CHORDATA,carnivora,MAMMALIA,eupleridae,Fossa,fossana,Vulnerable,Decreasing,fossa fossana,70,10,10,0,0,0,10,0,0,0,1500,20,10,0,10,90,carnivore,-1.697802701,-0.28421228,0,0,-0.547541394,0.283438347,1.5,0.600850905,4.340816095,35.28104122,1764.052061,Forest,Forest,298041124.9,2.592514543
galidia elegans,ANIMALIA,CHORDATA,carnivora,MAMMALIA,eupleridae,Galidia,elegans,Least Concern,Decreasing,galidia elegans,10,30,20,10,20,0,10,0,0,0,800,80,10,0,10,90,carnivore,-1.697802701,-0.28421228,0,0,-0.457546246,0.34870145,0.8,0.295308047,3.043166174,28.67782738,1433.891369,Forest,Forest,338319265.1,2.563797808
echinops telfairi,ANIMALIA,CHORDATA,afrosoricida,MAMMALIA,tenrecidae,Echinops,telfairi,Least Concern,Stable,echinops telfairi,60,0,0,0,0,0,40,0,0,0,180,0,40,0,40,60,omnivore,0,0,0,-0.055298106,1.682724321,48.16419663,0.18,0.00972,0.552104338,0.207623104,10.38115519,"Forest, Grassland, Shrubland, Savanna","Forest, Grassland, Shrubland, Savanna",381221225.5,2.463321787
